Model,FLOPs,Memory (MB)
Stage 4_Kevin,29818699776.0,681.36328125
Original Model_JF,32595197952.0,756.73828125
Stage 3_Kevin,30697537536.0,670.11328125
Stage 2_Kevin,31417122816.0,593.61328125
Stage 2_JF,31417122816.0,593.61328125
Stage 4-5_Kevin,29818699776.0,681.36328125
Stage 4-5_JF,29818699776.0,681.36328125
