Model,Accuracy,Memory (MB)
Original Model_Kevin,67.492,756.73828125
Stage 4_JF,68.992,681.36328125
Original Model_JF,69.054,756.73828125
Last 2_JF,68.3,681.36328125
Last 2_Kevin,67.092,681.36328125
Stage 2-5_JF,55.576,593.61328125
Stage 4-5_JF,69.044,681.36328125
Stage 4-5_Kevin,67.194,681.36328125
Stage 3-5_JF,66.458,670.11328125
Stage 1-5_JF,65.554,626.61328125
