Model,Params,Time,Accuracy
Last 2_JF,10193706,0.019872215938568114,69.01
Last 2_Kevin,10193706,0.02083360643386841,67.408
Original Model_JF,11481338,0.022101825666427613,69.022
Original Model_Kevin,11481338,0.021855364847183232,67.316
Stage 1 first 2 conv_JF,11476706,0.021694494342803957,66.266
Stage 1 first 2 conv_Kevin,11476706,0.020841787242889404,63.876
Stage 1 last 2 conv_JF,11476418,0.021865219259262082,66.712
Stage 1 last 2 conv_Kevin,11476418,0.021925354957580565,63.94
Stage 1-5_JF,11476082,0.02166146397590637,66.21
Stage 1-5_Kevin,11476082,0.021841182279586792,63.512
Stage 3 first 2 conv_JF,11481714,0.021580369472503663,61.624
Stage 3 first 2 conv_Kevin,11481714,0.021792502212524413,61.228
Stage 3 last 2 conv_JF,11493042,0.02192337107658386,68.108
Stage 3 last 2 conv_Kevin,11493042,0.022530980730056764,66.462
Stage 3-5_JF,11261394,0.020310363101959224,66.178
Stage 3-5_Kevin,11261394,0.021276262283325194,64.686
Stage 3_JF,11261394,0.02149909925460815,66.148
Stage 3_Kevin,11261394,0.021283734369277958,64.716
Stage 4 first 2 conv_JF,11485050,0.02202267189025879,67.378
Stage 4 first 2 conv_Kevin,11485050,0.022076121473312373,66.19
Stage 4 last 2 conv_JF,11549418,0.022016260480880734,69.196
Stage 4 last 2 conv_Kevin,11549418,0.0216088415145874,67.416
Stage 4-5_JF,10193706,0.011852326440811158,69.344
Stage 4-5_Kevin,10193706,0.02071329288482666,67.41
Stage 4_JF,10193706,0.02006478080749512,69.284
Stage 4_Kevin,10193706,0.02100213284492493,67.464
