Model,FLOPs,Memory (MB)
Original Model_Kevin,32595197952.0,756.73828125
Last 2_JF,29818699776.0,681.36328125
Original Model_JF,32595197952.0,756.73828125
Stage 4_JF,29818699776.0,681.36328125
Stage 3_Kevin,30697537536.0,670.11328125
Last 2_Kevin,29818699776.0,681.36328125
Stage 4_Kevin,29818699776.0,681.36328125
Stage 3_JF,30697537536.0,670.11328125
