layer,activation_elements
stem.stem_conv,8192
stage1.stage1_block0.block.conv1,6144
stage1.stage1_block0.block.conv2,6144
stage1.stage1_block0.block.conv3,6144
stage1.stage1_block0.shortcut.shortcut_conv,6144
stage2.stage2_block0.block.conv1,14336
stage2.stage2_block0.block.conv2,3584
stage2.stage2_block0.block.conv3,3584
stage2.stage2_block0.shortcut.shortcut_conv,3584
stage3.stage3_block0.block.conv1,9728
stage3.stage3_block0.block.conv2,2432
stage3.stage3_block0.block.conv3,2432
stage3.stage3_block0.shortcut.shortcut_conv,2432
stage3.stage3_block1.block.conv1,2432
stage3.stage3_block1.block.conv2,2432
stage3.stage3_block1.block.conv3,2432
stage3.stage3_block2.block.conv1,2432
stage3.stage3_block2.block.conv2,2432
stage3.stage3_block2.block.collapsed_conv3_to_conv3_a336d321.layer_0,2432
stage3.stage3_block3.block.conv1,2432
stage3.stage3_block3.block.conv2,2432
stage3.stage3_block3.block.conv3,2432
stage4.stage4_block0.block.conv1,5888
stage4.stage4_block0.block.conv2,1472
stage4.stage4_block0.block.conv3,1472
stage4.stage4_block0.shortcut.shortcut_conv,1472
stage4.stage4_block1.block.conv1,1472
stage4.stage4_block1.block.conv2,1472
stage4.stage4_block1.block.conv3,1472
stage4.stage4_block2.block.conv1,1472
stage4.stage4_block2.block.conv2,1472
stage4.stage4_block2.block.conv3,1472
stage4.stage4_block3.block.conv1,1472
stage4.stage4_block3.block.conv2,1472
stage4.stage4_block3.block.conv3,1472
stage4.stage4_block4.block.conv1,1472
stage4.stage4_block4.block.conv2,1472
stage4.stage4_block4.block.conv3,1472
stage4.stage4_block5.block.conv1,1472
stage4.stage4_block5.block.conv2,1472
stage4.stage4_block5.block.conv3,1472
stage4.stage4_block6.block.conv1,1472
stage4.stage4_block6.block.conv2,1472
stage4.stage4_block6.block.conv3,1472
fc,10
