Model,Accuracy,Memory (MB)
Original Model_Kevin,67.492,756.73828125
Stage 4_JF,68.992,681.36328125
Original Model_JF,69.054,756.73828125
Last 2_JF,68.3,681.36328125
Last 2_Kevin,67.092,681.36328125
