Model,FLOPs,Memory (MB)
Original Model_JF,32595197952.0,756.73828125
Last 2_JF,29957373952.0,685.67578125
Original Model_Kevin,32595197952.0,756.73828125
Last 2_Kevin,29957373952.0,685.67578125
Stage 4_Kevin,29957373952.0,685.67578125
Stage 3_Kevin,30792171520.0,677.23828125
Stage 4_JF,29957373952.0,685.67578125
Stage 3_JF,30792171520.0,677.23828125
Stage 4-5_JF,29957373952.0,685.67578125
Stage 4-5_Kevin,29957373952.0,685.67578125
Stage 3-5_JF,30792171520.0,677.23828125
Stage 3-5_Kevin,30792171520.0,677.23828125
Stage 1-5_JF,31903137792.0,650.61328125
Stage 1-5_Kevin,31903137792.0,650.61328125
