Model,FLOPs,Inference Time (s)
Original Model_Kevin,32595197952.0,0.011030001616477967
Last 2_JF,29818699776.0,0.019863630485534668
Original Model_JF,32595197952.0,0.021842664051055907
Stage 4_JF,29818699776.0,0.0197553807258606
Stage 3_Kevin,30697537536.0,0.010796415901184082
Last 2_Kevin,29818699776.0,0.019897907161712646
Stage 4_Kevin,29818699776.0,0.019547697496414183
Stage 3_JF,30697537536.0,0.02085344948768616
Stage 2_JF,31417122816.0,0.020996670341491698
Stage 2_Kevin,31417122816.0,0.02133699984550476
Stage 4-5_JF,29818699776.0,0.010479379200935364
Stage 3-5_JF,30697537536.0,0.020488342332839967
Stage 4-5_Kevin,29818699776.0,0.019836443376541134
Stage 2-5_JF,31417122816.0,0.01049897277355194
Stage 3-5_Kevin,30697537536.0,0.0211529296875
Stage 1-5_JF,31827640320.0,0.020756724834442138
Stage 1-5_Kevin,31827640320.0,0.010836097550392151
Stage 1 last 2 conv_Kevin,31909429248.0,0.01081969919204712
Stage 4 last 2 conv_JF,32595197952.0,0.019573452901840212
Stage 3 last 2 conv_JF,32595197952.0,0.02229131999015808
Stage 2 last 2 conv_JF,31666683904.0,0.020665070629119875
Stage 3 first 2 conv_JF,32595197952.0,0.021733568048477172
Stage 3 first 2 conv_Kevin,32595197952.0,0.02156530389785766
Stage 4 first 2 conv_JF,32595197952.0,0.011481892776489259
Stage 2 first 2 conv_JF,31523553280.0,0.010549038338661196
Stage 2 last 2 conv_Kevin,31666683904.0,0.0214097056388855
Stage 4 first 2 conv_Kevin,32595197952.0,0.021369745445251467
Stage 4 last 2 conv_Kevin,32595197952.0,0.02137201752662659
