Model,FLOPs,Inference Time (s)
Original Model_JF,32595197952.0,0.020924547243118288
Stage 4_Kevin,29818699776.0,0.02063350400924683
Stage 4-5_JF,29818699776.0,0.010504052782058714
Stage 4-5_Kevin,29818699776.0,0.010442276787757873
Stage 4 last 2 conv_JF,32595197952.0,0.011117833685874939
Stage 2-5_JF,31417122816.0,0.020865063953399657
Stage 2-5_Kevin,31417122816.0,0.02093948006629944
Stage 4 last 2 conv_Kevin,32595197952.0,0.011139518404006957
Stage 2_JF,31417122816.0,0.01753487830162048
Stage 3 last 2 conv_Kevin,32595197952.0,0.011140059137344359
Stage 1-5_JF,31827640320.0,0.020837468957901003
