Model,FLOPs,Inference Time (s)
Original Model_Kevin,32595197952.0,0.02117030725479126
Stage 4_JF,29818699776.0,0.01954697117805481
Original Model_JF,32595197952.0,0.021335790491104123
Last 2_JF,29818699776.0,0.019816630411148072
Last 2_Kevin,29818699776.0,0.01982844161987305
Stage 2-5_JF,31417122816.0,0.019231171178817754
Stage 4-5_JF,29818699776.0,0.017380411195755008
Stage 4-5_Kevin,29818699776.0,0.018644183778762816
Stage 3-5_JF,30697537536.0,0.020934043216705323
Stage 1-5_JF,31827640320.0,0.018550499296188357
Stage 2 last 2 conv_JF,31666683904.0,0.020555240011215205
Stage 4 first 2 conv_JF,32595197952.0,0.02156221899986267
Stage 2 last 2 conv_Kevin,31666683904.0,0.021568846416473386
Stage 1 last 2 conv_Kevin,31909429248.0,0.021967927932739263
Stage 2 first 2 conv_JF,31523553280.0,0.021754518556594847
Stage 2 first 2 conv_Kevin,31523553280.0,0.021608439874649048
