Model,Params,Time,Accuracy
Original Model_JF,11481338,0.018423864030838014,69.032
Stage 2-5_JF,11449754,0.02130372486114502,55.616
Stage 2-5_Kevin,11449754,0.020862190198898314,55.16
Stage 2_JF,11449754,0.020895651006698605,55.616
Stage 2_Kevin,11449754,0.017476851272583006,55.16
Stage 3-5_Kevin,11249690,0.01919477753639221,65.012
Stage 3_Kevin,11249690,0.0201919328212738,64.952
Stage 4-5_JF,10125626,0.018314494371414185,69.044
Stage 4-5_Kevin,10125626,0.017139166212081912,67.194
Stage 4_Kevin,10125626,0.017677990341186525,67.058
