Model,Params,Time,Accuracy
Last 2_JF,10125626,0.019816630411148072,68.3
Last 2_Kevin,10125626,0.01982844161987305,67.092
Original Model_JF,11481338,0.021335790491104123,69.054
Original Model_Kevin,11481338,0.02117030725479126,67.492
Stage 1 last 2 conv_Kevin,11476106,0.021967927932739263,64.72
Stage 1-5_JF,11475482,0.018550499296188357,65.554
Stage 2 first 2 conv_JF,11453002,0.021754518556594847,56.0
Stage 2 first 2 conv_Kevin,11453002,0.021608439874649048,55.542
Stage 2 last 2 conv_JF,11453002,0.020555240011215205,57.6
Stage 2 last 2 conv_Kevin,11453002,0.021568846416473386,57.07
Stage 2-5_JF,11449754,0.019231171178817754,55.576
Stage 3-5_JF,11249690,0.020934043216705323,66.458
Stage 4 first 2 conv_JF,11481338,0.02156221899986267,67.286
Stage 4-5_JF,10125626,0.017380411195755008,69.044
Stage 4-5_Kevin,10125626,0.018644183778762816,67.194
Stage 4_JF,10125626,0.01954697117805481,68.992
