Model,FLOPs,Inference Time (s)
Stage 4_Kevin,29818699776.0,0.017677990341186525
Original Model_JF,32595197952.0,0.018423864030838014
Stage 3_Kevin,30697537536.0,0.0201919328212738
Stage 2_Kevin,31417122816.0,0.017476851272583006
Stage 2_JF,31417122816.0,0.020895651006698605
Stage 4-5_Kevin,29818699776.0,0.017139166212081912
Stage 4-5_JF,29818699776.0,0.018314494371414185
Stage 2-5_JF,31417122816.0,0.02130372486114502
Stage 3-5_Kevin,30697537536.0,0.01919477753639221
Stage 2-5_Kevin,31417122816.0,0.020862190198898314
Stage 1-5_JF,31827640320.0,0.02045701279640198
Stage 4 last 2 conv_Kevin,32595197952.0,0.021732052850723268
Stage 3 last 2 conv_Kevin,32595197952.0,0.018505444908142092
Stage 4 last 2 conv_JF,32595197952.0,0.021044512128829955
Stage 3 last 2 conv_JF,32595197952.0,0.021292623996734615
