Model,Accuracy,Params,FLOPs,Inference Time,Memory (MB)
Original Model_JF,69.032,11481338,32595197952,0.020924547243118288,756.73828125
Stage 4_Kevin,67.194,10125626,29818699776,0.02063350400924683,681.36328125
Stage 4-5_JF,68.998,10125626,29818699776,0.010504052782058714,681.36328125
Stage 4-5_Kevin,67.02,10125626,29818699776,0.010442276787757873,681.36328125
Stage 4 last 2 conv_JF,68.624,11481338,32595197952,0.011117833685874939,698.61328125
Stage 2-5_JF,55.616,11449754,31417122816,0.020865063953399657,593.61328125
Stage 2-5_Kevin,55.16,11449754,31417122816,0.02093948006629944,593.61328125
Stage 4 last 2 conv_Kevin,67.256,11481338,32595197952,0.011139518404006957,698.61328125
Stage 2_JF,55.616,11449754,31417122816,0.01753487830162048,593.61328125
Stage 3 last 2 conv_Kevin,66.692,11481338,32595197952,0.011140059137344359,698.61328125
Stage 1-5_JF,65.612,11475482,31827640320,0.020837468957901003,626.61328125
Stage 1 last 2 conv_JF,66.906,11476106,31909429248,0.010994425582885742,662.61328125
Stage 2 last 2 conv_JF,57.6,11453002,31666683904,0.02139285287857056,677.61328125
Stage 2 last 2 conv_Kevin,57.07,11453002,31666683904,0.021346688318252562,677.61328125
Stage 4 first 2 conv_JF,67.286,11481338,32595197952,0.021452012920379643,698.61328125
Stage 1 first 2 conv_JF,66.36,11476106,31909429248,0.011019035148620605,662.61328125
Stage 2 first 2 conv_JF,56.0,11453002,31523553280,0.02110083680152893,614.61328125
