Model,Params,Time,Accuracy
Last 2_JF,10193706,0.019778960037231445,69.01
Last 2_Kevin,10193706,0.010966150331497195,67.17
Original Model_JF,11481338,0.0215090672492981,69.022
Original Model_Kevin,11481338,0.011263110327720642,67.286
