Model,Accuracy,Memory (MB)
Original Model_JF,69.022,756.73828125
Last 2_JF,69.01,685.67578125
Original Model_Kevin,67.286,756.73828125
Last 2_Kevin,67.17,685.67578125
Stage 4_Kevin,67.41,685.67578125
Stage 3_Kevin,64.716,677.23828125
Stage 4_JF,69.278,685.67578125
Stage 3_JF,66.11,677.23828125
Stage 4-5_JF,69.344,685.67578125
Stage 4-5_Kevin,67.41,685.67578125
Stage 3-5_JF,66.178,677.23828125
Stage 3-5_Kevin,64.666,677.23828125
Stage 1-5_JF,66.268,650.61328125
Stage 1-5_Kevin,63.512,650.61328125
Stage 4 last 2 conv_JF,69.196,702.92578125
Stage 4 last 2 conv_Kevin,67.416,702.92578125
Stage 3 last 2 conv_JF,68.044,705.73828125
Stage 3 last 2 conv_Kevin,66.462,705.73828125
