Model,Accuracy,Memory (MB)
Original Model_Kevin,67.264,756.73828125
Original Model_JF,69.03,756.73828125
Last 2_JF,69.01,685.67578125
Stage 3_JF,66.148,677.23828125
Stage 4-5_JF,69.344,685.67578125
Stage 4_JF,69.304,685.67578125
Last 2_Kevin,67.408,685.67578125
Stage 3_Kevin,64.666,677.23828125
Stage 4_Kevin,67.41,685.67578125
Stage 3-5_JF,66.178,677.23828125
Stage 1-5_JF,66.21,650.61328125
Stage 3 last 2 conv_JF,68.108,705.73828125
Stage 3 last 2 conv_Kevin,66.542,705.73828125
Stage 3-5_Kevin,64.686,677.23828125
Stage 4-5_Kevin,67.41,685.67578125
Stage 3 first 2 conv_JF,61.716,709.11328125
Stage 4 first 2 conv_Kevin,66.19,705.73828125
Stage 3 first 2 conv_Kevin,61.228,709.11328125
Stage 1-5_Kevin,63.338,650.61328125
Stage 4 last 2 conv_JF,69.132,702.92578125
Stage 1 last 2 conv_Kevin,64.034,680.61328125
Stage 1 last 2 conv_JF,66.716,680.61328125
Stage 4 first 2 conv_JF,67.39,705.73828125
Stage 1 first 2 conv_Kevin,63.748,686.61328125
Stage 1 first 2 conv_JF,66.298,686.61328125
Stage 4 last 2 conv_Kevin,67.416,702.92578125
