Model,Accuracy,Memory (MB)
Original Model_JF,69.032,756.73828125
Stage 4_Kevin,67.194,681.36328125
Stage 4-5_JF,68.998,681.36328125
Stage 4-5_Kevin,67.02,681.36328125
Stage 4 last 2 conv_JF,68.624,698.61328125
Stage 2-5_JF,55.616,593.61328125
Stage 2-5_Kevin,55.16,593.61328125
Stage 4 last 2 conv_Kevin,67.256,698.61328125
Stage 2_JF,55.616,593.61328125
Stage 3 last 2 conv_Kevin,66.692,698.61328125
Stage 1-5_JF,65.612,626.61328125
Stage 1 last 2 conv_JF,66.906,662.61328125
Stage 2 last 2 conv_JF,57.6,677.61328125
Stage 2 last 2 conv_Kevin,57.07,677.61328125
