Model,Accuracy,Memory (MB)
Original Model_JF,69.032,756.73828125
Stage 4_Kevin,67.194,681.36328125
Stage 4-5_JF,68.998,681.36328125
Stage 4-5_Kevin,67.02,681.36328125
