name,ΔAcc,ΔParams(%)
Original Model_Kevin,0.0,0.0
Original Model_JF,1.706000000000003,0.0
Last 2_JF,1.6940000000000026,-11.214999506155118
Stage 3_JF,-1.1680000000000064,-1.9156652299583898
Stage 4-5_JF,2.0279999999999916,-11.214999506155118
Stage 4_JF,1.9879999999999995,-11.214999506155118
Last 2_Kevin,0.09199999999999875,-11.214999506155118
Stage 3_Kevin,-2.6500000000000057,-1.9156652299583898
Stage 4_Kevin,0.09399999999999409,-11.214999506155118
Stage 3-5_JF,-1.1380000000000052,-1.9156652299583898
Stage 1-5_JF,-1.1060000000000088,-0.04577863660141353
Stage 3 last 2 conv_JF,0.7920000000000016,0.10193933842902282
Stage 3 last 2 conv_Kevin,-0.8539999999999992,0.10193933842902282
Stage 3-5_Kevin,-2.6299999999999955,-1.9156652299583898
Stage 4-5_Kevin,0.09399999999999409,-11.214999506155118
Stage 3 first 2 conv_JF,-5.692,0.0032748796351087304
Stage 4 first 2 conv_Kevin,-1.1260000000000048,0.03233072661043512
Stage 3 first 2 conv_Kevin,-6.088000000000001,0.0032748796351087304
Stage 1-5_Kevin,-3.804000000000002,-0.04577863660141353
Stage 4 last 2 conv_JF,1.8799999999999955,0.5929622488250063
Stage 1 last 2 conv_Kevin,-3.3760000000000048,-0.042852148416848285
Stage 1 last 2 conv_JF,-0.6039999999999992,-0.042852148416848285
Stage 4 first 2 conv_JF,0.06199999999999761,0.03233072661043512
Stage 1 first 2 conv_Kevin,-3.440000000000005,-0.04034372997293521
Stage 1 first 2 conv_JF,-1.0499999999999972,-0.04034372997293521
Stage 4 last 2 conv_Kevin,0.09999999999999432,0.5929622488250063
