Architecture,Dataset,Experiment,Is_Quantized,Collapsed_Ranges,Delta_Acc,Params_Reduction_%,FLOPs_Reduction_%,Memory_Reduction_%
VGG16,TinyImageNet,Set_0,False,"['features.conv_11', 'features.conv_13']",,,,
VGG16,TinyImageNet,Control (Continued),False,None,,,,
VGG16,TinyImageNet,Set_0,True,"['features.conv_11', 'features.conv_13']",,,,
VGG16,TinyImageNet,Control (Continued),True,None,-27.168999999999997,0.0,0.0,50.0
