Layer,Normalized Variance,Normalized CV
stem.0,0.0022802365827655153,0.0005126179832212686
stages.0.0.dwconv,0.0061158837475662605,0.0016078225912558677
stages.0.0.pwconv1,0.006989133288052019,6.96969146514724e-05
stages.0.0.pwconv2,0.03313664782684463,0.006589947041622774
stages.0.1.dwconv,0.005059720195625112,0.0032280411891722717
stages.0.1.pwconv1,0.004360260920686548,6.172769268584853e-05
stages.0.1.pwconv2,0.02780438712248822,0.005229805022343611
stages.0.2.dwconv,0.004322510742928503,0.0013727177227705078
stages.0.2.pwconv1,0.004150066349376989,7.897130967958448e-05
stages.0.2.pwconv2,0.037123905736008524,0.016388046642837654
downsample_layers.0.1,0.19217587528167798,0.09886695856021166
stages.1.0.dwconv,1.5264640164569043,0.03671962125550342
stages.1.0.pwconv1,0.07999845496899477,0.00017259648710949143
stages.1.0.pwconv2,0.6376735012867327,0.039102358389595845
stages.1.1.dwconv,1.316382990179469,0.06925225043566992
stages.1.1.pwconv1,0.06874651087883872,0.00018609922302166804
stages.1.1.pwconv2,0.6602326131070496,0.0768470323906692
stages.1.2.dwconv,1.237299287031951,0.033880373652446144
stages.1.2.pwconv1,0.0534260549722785,0.00014167536958285403
stages.1.2.pwconv2,0.34713750025936796,0.13474205749867385
downsample_layers.1.1,0.5546888263506405,0.05180297233966603
stages.2.0.dwconv,1.3126983120701377,0.2362763541208732
stages.2.0.pwconv1,0.12367094332032792,0.0001820685907346255
stages.2.0.pwconv2,0.8653846844387273,0.07418075601736207
stages.2.1.dwconv,1.2497373499499649,0.1794554963255919
stages.2.1.pwconv1,0.0945641769032521,0.00019099107804293046
stages.2.1.pwconv2,1.9086927480968459,46.89257021038006
stages.2.2.dwconv,1.3498410134497738,0.12564266252819886
stages.2.2.pwconv1,0.1009586757599502,0.00018961456588655198
stages.2.2.pwconv2,1.3692694873152034,0.513022049950949
stages.2.3.dwconv,1.9470272867286007,0.19107096949634558
stages.2.3.pwconv1,0.12345806108961575,0.0001931050492038091
stages.2.3.pwconv2,1.1985109342508544,0.4891842317351973
stages.2.4.dwconv,2.302461429814088,0.0946191599944681
stages.2.4.pwconv1,0.14149321310868387,0.00018522860666502104
stages.2.4.pwconv2,0.891440622497571,0.10653372718494625
stages.2.5.dwconv,2.231123309454203,0.07790124528239738
stages.2.5.pwconv1,0.13916691890731536,0.00022001437650395015
stages.2.5.pwconv2,2.013025248423307,0.05446271546709441
stages.2.6.dwconv,3.1365770645775144,0.07977967956019993
stages.2.6.pwconv1,0.13635140207358204,0.00017910254436230206
stages.2.6.pwconv2,0.8763750383941527,0.19736872408612416
stages.2.7.dwconv,2.6840264844019854,0.09040971465863759
stages.2.7.pwconv1,0.11056828840238825,0.0001927022194804923
stages.2.7.pwconv2,1.4129253628271408,0.04365175968043862
stages.2.8.dwconv,3.850879071724544,3.980278749154938
stages.2.8.pwconv1,0.13770715877405598,0.00020410934006157054
stages.2.8.pwconv2,1.4455670434559917,0.07527809355186821
downsample_layers.2.1,0.2899863787641213,0.1617199834835609
stages.3.0.dwconv,0.19126500545335667,3.904334984242213
stages.3.0.pwconv1,0.5787275396025665,0.00043146894992019004
stages.3.0.pwconv2,8.113308601975577,0.3752339535383743
stages.3.1.dwconv,0.34753074485893853,0.03437893896922081
stages.3.1.pwconv1,0.5931044555060855,0.0003751054620440217
stages.3.1.pwconv2,4.037620038952547,0.07353475480244819
stages.3.2.dwconv,0.39495756499477136,0.12067245484891319
stages.3.2.pwconv1,0.5054777009972121,0.0003770448134388322
stages.3.2.pwconv2,3.9584631399744907,0.2469175957474331
classifier,0.030489115424198236,0.001747089883417322
