Layer,Mean Activation,Variance
stem.conv1,0.039743274450302124,3.1010923385620117
features.0.depthwise.0,0.06876499950885773,0.1585725098848343
features.0.pointwise.0,0.18513011932373047,1.7617409229278564
features.1.depthwise.0,0.008577821776270866,0.6550925970077515
features.1.pointwise.0,-0.013933513313531876,4.204225540161133
features.2.depthwise.0,0.021303970366716385,0.3995091915130615
features.2.pointwise.0,0.11819016188383102,7.7266693115234375
features.3.depthwise.0,0.10003258287906647,0.6628234386444092
features.3.pointwise.0,-0.7525815367698669,9.349045753479004
features.4.depthwise.0,0.008367197588086128,0.449738472700119
features.4.pointwise.0,-0.5234629511833191,15.504989624023438
features.5.depthwise.0,0.014737644232809544,0.5144615173339844
features.5.pointwise.0,-1.5749493837356567,17.55302619934082
features.6.depthwise.0,-0.015545235015451908,0.3843035101890564
features.6.pointwise.0,-0.9508229494094849,29.98804473876953
features.7.depthwise.0,0.1109803318977356,0.45333927869796753
features.7.pointwise.0,-1.7358081340789795,34.491432189941406
features.8.depthwise.0,0.06217241659760475,0.5084261894226074
features.8.pointwise.0,-1.1580145359039307,49.779544830322266
features.9.depthwise.0,-0.044496722519397736,0.5623545050621033
features.9.pointwise.0,-1.3071293830871582,68.81279754638672
features.10.depthwise.0,-0.03819534182548523,0.5852997303009033
features.10.pointwise.0,-2.198932647705078,97.33578491210938
features.11.depthwise.0,0.10498873889446259,0.7887211441993713
features.11.pointwise.0,-0.8909910917282104,146.80361938476562
features.12.depthwise.0,-0.057043466717004776,0.19961857795715332
features.12.pointwise.0,-5.021946907043457,51.19842529296875
fc,-12.104002952575684,30.33662223815918
