Layer,Normalized Variance,Normalized CV
features.conv_1,0.002034474925112765,0.7248415945312594
features.conv_2,0.22714044416417078,0.7748059097356064
features.conv_3,0.1856673164595133,0.44596219618424954
features.conv_4,0.34712318585344815,0.8481382441563378
features.conv_5,0.3394584938319064,0.712095332206304
features.conv_6,0.802449792798548,0.4818813912348656
features.conv_7,1.1044670742802476,0.6165991908153671
features.conv_8,1.326808275825442,0.678385353738295
features.conv_9,1.8441165193086055,5.117586752281001
features.conv_10,4.248980230698336,1.8153363453149054
features.conv_11,3.990475012710633,3.1224461874439706
features.conv_12,0.9936620080779462,0.4186145205416529
features.conv_13,0.5826508105560363,0.2086093024558667
classifier.fc_1,8.792643723447373e-06,0.0012862334026121393
classifier.fc_2,5.614380026781811e-05,0.003399611492029264
classifier.fc_3,0.004901424066052744,0.03001183446533708
