Layer,Mean Activation,Variance
stem.0,0.09022016078233719,1.3309804201126099
stages.0.0.dwconv,0.07715047150850296,3.5698583126068115
stages.0.0.pwconv1,-2.033889055252075,4.07957649230957
stages.0.0.pwconv2,0.1019868403673172,19.34195327758789
stages.0.1.dwconv,0.03179104998707771,2.9533727169036865
stages.0.1.pwconv1,-1.4326822757720947,2.5450963973999023
stages.0.1.pwconv2,0.10783141851425171,16.2294979095459
stages.0.2.dwconv,0.06386639177799225,2.523061513900757
stages.0.2.pwconv1,-1.0658674240112305,2.422405242919922
stages.0.2.pwconv2,0.04594559967517853,21.669326782226562
downsample_layers.0.1,-0.03941240906715393,112.1735610961914
stages.1.0.dwconv,0.8431386351585388,891.01318359375
stages.1.0.pwconv1,-9.400886535644531,46.69503402709961
stages.1.0.pwconv2,-0.3307502269744873,372.199951171875
stages.1.1.dwconv,-0.38558611273765564,768.376220703125
stages.1.1.pwconv1,-7.492438316345215,40.127471923828125
stages.1.1.pwconv2,0.17425142228603363,385.3757019042969
stages.1.2.dwconv,0.7406590580940247,722.2158813476562
stages.1.2.pwconv1,-7.648513317108154,31.18484115600586
stages.1.2.pwconv2,-0.05225647985935211,202.62234497070312
downsample_layers.1.1,-0.21717844903469086,323.7745666503906
stages.2.0.dwconv,-0.11273448914289474,766.2296752929688
stages.2.0.pwconv1,-13.776915550231934,72.18668365478516
stages.2.0.pwconv2,-0.23660406470298767,505.10400390625
stages.2.1.dwconv,0.14126332104206085,729.47705078125
stages.2.1.pwconv1,-10.04228687286377,55.197166442871094
stages.2.1.pwconv2,0.0008272053673863411,1114.0830078125
stages.2.2.dwconv,-0.21791665256023407,787.90478515625
stages.2.2.pwconv1,-10.799165725708008,58.92976379394531
stages.2.2.pwconv2,0.05411594733595848,799.2341918945312
stages.2.3.dwconv,0.20668530464172363,1136.482177734375
stages.2.3.pwconv1,-12.967147827148438,72.06295013427734
stages.2.3.pwconv2,0.04969821870326996,699.57373046875
stages.2.4.dwconv,-0.4935271441936493,1343.9532470703125
stages.2.4.pwconv1,-15.493313789367676,82.59002685546875
stages.2.4.pwconv2,0.16970455646514893,520.33740234375
stages.2.5.dwconv,0.5809068083763123,1302.3118896484375
stages.2.5.pwconv1,-12.829263687133789,81.23217010498047
stages.2.5.pwconv2,-0.7496576905250549,1175.025146484375
stages.2.6.dwconv,-0.7974260449409485,1830.83154296875
stages.2.6.pwconv1,-15.440937042236328,79.58897399902344
stages.2.6.pwconv2,-0.09004638344049454,511.5536193847656
stages.2.7.dwconv,-0.6021327376365662,1566.6754150390625
stages.2.7.pwconv1,-11.637510299682617,64.53900909423828
stages.2.7.pwconv2,-0.6565083861351013,824.7474365234375
stages.2.8.dwconv,-0.019595256075263023,2247.780029296875
stages.2.8.pwconv1,-13.683911323547363,80.38008880615234
stages.2.8.pwconv2,0.38945555686950684,843.7843627929688
downsample_layers.2.1,0.03637596592307091,169.2655792236328
stages.3.0.dwconv,-0.0009918162832036614,111.64214324951172
stages.3.0.pwconv1,-27.20457649230957,337.8049011230469
stages.3.0.pwconv2,0.4385193884372711,4735.77001953125
stages.3.1.dwconv,0.20504961907863617,202.85447692871094
stages.3.1.pwconv1,-32.06975555419922,346.19659423828125
stages.3.1.pwconv2,-1.1136285066604614,2356.77880859375
stages.3.2.dwconv,0.06637571007013321,230.53855895996094
stages.3.2.pwconv1,-27.191070556640625,295.04913330078125
stages.3.2.pwconv2,-0.3251422345638275,2310.58349609375
classifier,-0.3539521098136902,17.796674728393555
