Layer,Mean Activation,Variance
stem.stem_conv,0.05298677086830139,2.4372384548187256
stage1.stage1_block0.block.conv1,-0.5457090139389038,4.155214309692383
stage1.stage1_block0.block.conv2,-0.7720488905906677,10.27535629272461
stage1.stage1_block0.block.conv3,0.26815885305404663,1.2085330486297607
stage1.stage1_block0.shortcut.shortcut_conv,0.06630921363830566,2.0738089084625244
stage2.stage2_block0.block.conv1,0.26990631222724915,5.100592613220215
stage2.stage2_block0.block.conv2,-0.3649106025695801,11.328638076782227
stage2.stage2_block0.block.conv3,0.1356048882007599,3.1735222339630127
stage2.stage2_block0.shortcut.shortcut_conv,0.39452865719795227,4.347472667694092
stage2.stage2_block1.block.conv1,0.04768341779708862,20.39421844482422
stage2.stage2_block1.block.conv2,-1.2200767993927002,9.365471839904785
stage2.stage2_block1.block.conv3,0.0887046754360199,2.9521875381469727
stage3.stage3_block0.block.conv1,-0.6384240984916687,19.524944305419922
stage3.stage3_block0.block.conv2,-0.34637323021888733,10.116018295288086
stage3.stage3_block0.block.conv3,0.12133532762527466,9.315211296081543
stage3.stage3_block0.shortcut.shortcut_conv,0.98259437084198,17.461753845214844
stage3.stage3_block1.block.conv1,-0.639428436756134,132.53688049316406
stage3.stage3_block1.block.conv2,-1.3815584182739258,9.104659080505371
stage3.stage3_block1.block.conv3,-0.0574890673160553,9.549863815307617
stage3.stage3_block2.block.conv1,4.559497833251953,131.3590087890625
stage3.stage3_block2.block.conv2,-0.1510198563337326,9.210535049438477
stage3.stage3_block2.block.conv3,-0.7525957822799683,12.254265785217285
stage3.stage3_block3.block.conv1,4.626695156097412,147.71286010742188
stage3.stage3_block3.block.conv2,-0.42643365263938904,9.166486740112305
stage3.stage3_block3.block.conv3,0.5347954630851746,14.972921371459961
stage3.stage3_block4.block.conv1,4.399094581604004,126.38771057128906
stage3.stage3_block4.block.conv2,0.13040730357170105,6.592628479003906
stage3.stage3_block4.block.conv3,0.24872036278247833,8.315053939819336
stage3.stage3_block5.block.conv1,2.9201951026916504,139.0635986328125
stage3.stage3_block5.block.conv2,-0.05103306099772453,5.804828643798828
stage3.stage3_block5.block.conv3,-0.8780071139335632,12.06505298614502
stage3.stage3_block6.block.conv1,3.432837724685669,151.14468383789062
stage3.stage3_block6.block.conv2,-0.09277749806642532,5.122638702392578
stage3.stage3_block6.block.conv3,-0.5999165773391724,9.799921035766602
stage4.stage4_block0.block.conv1,-4.124647617340088,135.1549072265625
stage4.stage4_block0.block.conv2,-0.3169694244861603,4.606323719024658
stage4.stage4_block0.block.conv3,-0.8446910381317139,15.816431999206543
stage4.stage4_block0.shortcut.shortcut_conv,-4.459367275238037,130.8024444580078
stage4.stage4_block1.block.conv1,0.6259191036224365,88.78693389892578
stage4.stage4_block1.block.conv2,-0.010417128913104534,3.0650386810302734
stage4.stage4_block1.block.conv3,-0.44070330262184143,45.55733108520508
stage4.stage4_block2.block.conv1,3.0554304122924805,116.79708862304688
stage4.stage4_block2.block.conv2,0.1307949721813202,5.240225315093994
stage4.stage4_block2.block.conv3,0.0828494057059288,172.0926513671875
stage4.stage4_block3.block.conv1,0.7324253916740417,245.034423828125
stage4.stage4_block3.block.conv2,0.21683984994888306,10.438644409179688
stage4.stage4_block3.block.conv3,0.3324325382709503,494.3030700683594
stage4.stage4_block4.block.conv1,-0.10776913911104202,738.0416870117188
stage4.stage4_block4.block.conv2,0.26635345816612244,24.647079467773438
stage4.stage4_block4.block.conv3,-0.2659967839717865,847.7537231445312
stage4.stage4_block5.block.conv1,-0.1015826091170311,1467.98486328125
stage4.stage4_block5.block.conv2,0.26478907465934753,70.21551513671875
stage4.stage4_block5.block.conv3,-0.8880774974822998,1637.8985595703125
stage4.stage4_block6.block.conv1,0.9879160523414612,1838.87109375
stage4.stage4_block6.block.conv2,0.3980525732040405,98.08698272705078
stage4.stage4_block6.block.conv3,-1.1950011253356934,3208.220703125
stage4.stage4_block7.block.conv1,0.765783965587616,1597.2125244140625
stage4.stage4_block7.block.conv2,0.3334026336669922,114.7857437133789
stage4.stage4_block7.block.conv3,-2.3895394802093506,4022.296142578125
stage4.stage4_block8.block.conv1,0.5610968470573425,1343.731689453125
stage4.stage4_block8.block.conv2,0.14818252623081207,141.46730041503906
stage4.stage4_block8.block.conv3,-2.4444220066070557,3653.594482421875
stage4.stage4_block9.block.conv1,-0.019251206889748573,1384.9139404296875
stage4.stage4_block9.block.conv2,0.2516697943210602,158.41217041015625
stage4.stage4_block9.block.conv3,-3.487699508666992,4494.11376953125
stage4.stage4_block10.block.conv1,-0.04357469081878662,1219.528564453125
stage4.stage4_block10.block.conv2,0.0005528752808459103,129.1002655029297
stage4.stage4_block10.block.conv3,-4.661314487457275,5359.06201171875
stage4.stage4_block11.block.conv1,-0.25388720631599426,755.6801147460938
stage4.stage4_block11.block.conv2,-0.31212130188941956,88.35584259033203
stage4.stage4_block11.block.conv3,-10.814213752746582,6680.40869140625
fc,-11.39311408996582,23.705631256103516
