Layer,Normalized Variance,Normalized CV
stem.0,0.0019422048050753361,0.2884589841452464
stem.3,0.03165045519512838,0.021382726428156484
block1.skip.0,0.005287147104237318,0.021309262316429326
block1.rep.0.depthwise,0.00021851644824650164,0.04086299882492447
block1.rep.0.pointwise,0.0021402138381360755,0.04457910642338011
block1.rep.3.depthwise,0.0006314425685602972,0.01691548959514656
block1.rep.3.pointwise,0.01570474933314123,0.027613747157132742
block2.skip.0,0.10236924311815396,0.022265006860998162
block2.rep.1.depthwise,0.0016366893262767183,0.024285449020896136
block2.rep.1.pointwise,0.041737488171432774,0.013805534254195864
block2.rep.4.depthwise,0.00048536482004121506,0.03921248268329593
block2.rep.4.pointwise,0.025963898740767887,0.016622773883190573
block3.skip.0,0.2028327626900002,0.11769355349469317
block3.rep.1.depthwise,0.0013541419051769261,0.013619157491532132
block3.rep.1.pointwise,0.0682606205256861,0.025317019250407077
block3.rep.4.depthwise,0.00034868291117718503,0.027307776144361712
block3.rep.4.pointwise,0.07158602494614778,0.01951819670663913
middle_flow.0.rep.1.depthwise,0.0024700537533382536,0.20378476747758992
middle_flow.0.rep.1.pointwise,1.454226437295428,0.0712297976326823
middle_flow.0.rep.4.depthwise,0.0005040394771209507,1.5426458687194866
middle_flow.0.rep.4.pointwise,0.5625401108905594,0.22916650906327374
middle_flow.0.rep.7.depthwise,0.000707532760942385,0.22027012562334955
middle_flow.0.rep.7.pointwise,1.6322150652712946,0.6001856025139994
middle_flow.1.rep.1.depthwise,0.0022333089006527527,0.04629057885798908
middle_flow.1.rep.1.pointwise,1.9234671327048867,0.09766033118838778
middle_flow.1.rep.4.depthwise,0.000555227091571345,0.048246784434270884
middle_flow.1.rep.4.pointwise,2.7141161533501155,0.3651584714556699
middle_flow.1.rep.7.depthwise,0.0008881461752875915,9.761733272771696
middle_flow.1.rep.7.pointwise,6.784786541633137,1.6144337709660983
middle_flow.2.rep.1.depthwise,0.002585771090287076,0.20203462995528917
middle_flow.2.rep.1.pointwise,2.018862665664559,0.6265295438469431
middle_flow.2.rep.4.depthwise,0.0008503696906426246,0.15411721358200933
middle_flow.2.rep.4.pointwise,2.5833880419437443,9.112411161254416
middle_flow.2.rep.7.depthwise,0.0024957790841076692,0.12922626671508763
middle_flow.2.rep.7.pointwise,10.286618106581479,2.9412180409118776
middle_flow.3.rep.1.depthwise,0.002958486331945043,0.2070626957475981
middle_flow.3.rep.1.pointwise,2.3013513170986095,0.1683082988480581
middle_flow.3.rep.4.depthwise,0.0011854202426682097,0.33080441689583945
middle_flow.3.rep.4.pointwise,3.8224611628855847,1.2004506255159964
middle_flow.3.rep.7.depthwise,0.002621820906864355,0.13909492310621002
middle_flow.3.rep.7.pointwise,9.879830764957902,1.8502014165245366
middle_flow.4.rep.1.depthwise,0.0019970287644901566,3.015562248121392
middle_flow.4.rep.1.pointwise,0.7336605137379795,0.0702151911758666
middle_flow.4.rep.4.depthwise,0.0003107006540128233,0.11456596133612025
middle_flow.4.rep.4.pointwise,0.2591523871656283,0.07462546119269499
middle_flow.4.rep.7.depthwise,0.0009886935079569579,0.5619840268245482
middle_flow.4.rep.7.pointwise,2.295022503074509,2.0325373022517694
middle_flow.5.rep.1.depthwise,0.002286201599819989,0.10445761571296823
middle_flow.5.rep.1.pointwise,1.584360689997719,1.3359030202671613
middle_flow.5.rep.4.depthwise,0.0008152739818273581,0.6836523051811907
middle_flow.5.rep.4.pointwise,2.262112670149186,3.875192225393984
middle_flow.5.rep.7.depthwise,0.0018121965919475362,0.29691447397974247
middle_flow.5.rep.7.pointwise,6.637660608921543,8.903332656376291
middle_flow.6.rep.1.depthwise,0.00255130315346556,5.502573476720645
middle_flow.6.rep.1.pointwise,1.8664467975495895,0.4810297012649244
middle_flow.6.rep.4.depthwise,0.0010352521681305765,0.08548605080441447
middle_flow.6.rep.4.pointwise,3.0586281031099887,5.18185837140285
middle_flow.6.rep.7.depthwise,0.001131257385786337,0.26652517166972733
middle_flow.6.rep.7.pointwise,3.2471406578472113,4.378018518709457
middle_flow.7.rep.1.depthwise,0.0017662573289778864,1.0143797415735456
middle_flow.7.rep.1.pointwise,0.5698475428198235,0.10542700196966333
middle_flow.7.rep.4.depthwise,0.00016910629861725191,0.13635637749345525
middle_flow.7.rep.4.pointwise,0.09812019358713375,0.11060772358541353
middle_flow.7.rep.7.depthwise,0.0004217229095695827,0.06996224902566539
middle_flow.7.rep.7.pointwise,0.3776296447427447,2.2312510258412135
block4.skip.0,4.841361773623476,0.5106605728303387
block4.rep.1.depthwise,0.0016182325261445856,0.2069093526589171
block4.rep.1.pointwise,0.2721939974142823,0.09328385212449984
block4.rep.4.depthwise,0.0002806312242324864,0.3392865546287936
block4.rep.4.pointwise,0.05576644679066756,0.01807059396145102
conv3.depthwise,0.0005312325319545443,0.03961687600887616
conv3.pointwise,0.15206551277513491,0.35996591532617417
conv4.depthwise,5.6908667310240903e-05,0.14322876387072928
conv4.pointwise,0.013921663285647378,0.006273766650974435
fc,0.09906719188330775,0.007251475775433351
