Layer,Normalized Variance,Normalized CV
stem.conv1,0.1478847688047195,3.0943148381487497
features.0.depthwise.0,0.014065835018340984,0.21741642073948397
features.0.pointwise.0,0.09470033264571999,0.24436020354311863
features.1.depthwise.0,0.030460452025008595,0.6097084812785796
features.1.pointwise.0,0.2088247751210792,1.4953418498031963
features.2.depthwise.0,0.02212950972511544,3.1379607216102223
features.2.pointwise.0,0.35964824158216047,1.8443413042568273
features.3.depthwise.0,0.03464269471469239,0.11795418377406297
features.3.pointwise.0,0.4707690324428057,0.4166345476060572
features.4.depthwise.0,0.021555682021137827,0.7154722086348775
features.4.pointwise.0,0.7876217945631675,0.7979214225989498
features.5.depthwise.0,0.02702366355536434,0.3119275642843739
features.5.pointwise.0,0.9606379801799556,0.288283569055412
features.6.depthwise.0,0.019716788751862974,0.9930992008298404
features.6.pointwise.0,1.6638583961688318,0.6079394484241205
features.7.depthwise.0,0.025502729228877166,0.08945405792229247
features.7.pointwise.0,1.8820356659023543,0.7434526981331566
features.8.depthwise.0,0.0262134429606028,0.15514289354447383
features.8.pointwise.0,2.570194667077138,1.1949081184973986
features.9.depthwise.0,0.026018581085546184,1.0973486450704653
features.9.pointwise.0,3.466607113657699,1.0343425034119176
features.10.depthwise.0,0.02747003130901171,0.42822215677937675
features.10.pointwise.0,4.520688253499318,0.7287614689226085
features.11.depthwise.0,0.036758944449997125,0.16814248522872682
features.11.pointwise.0,6.071367991350708,7.170116940470088
features.12.depthwise.0,0.010298403826113378,0.07361373117986325
features.12.pointwise.0,2.833965663812099,0.16986254713146862
fc,1.6393385645191072,0.05395578911968561
