Experiment,Collapse Score
Original Model,-0.002359460573643446
Stage 5 (Full),0.0
Stage 4 (Full),-0.000724137024585474
Stage 3 (Full),0.0
Stage 2 (Full),0.0
Stage 1 (Full),0.0
Block 5 Only,0.0
Block 4 Only,-0.00042250680739633394
Block 3 Only,0.0
Block 2 Only,0.0
Block 1 Only,0.0
Stage 3-5,0.0
Stage 2-5,0.0
Stage 1-5,0.0
