Model,Accuracy,Params,FLOPs,Inference Time,Memory (MB)
Original Model_JF,14.3,34015396,170513137664,0.016699038362503048,1713.1953125
Stage 4_JF,17.734,28261540,123385937920,0.02835964493751526,1629.1953125
Stage 4_Kevin,33.004,28261540,123385937920,0.02302156958580017,1629.1953125
Last 2_Kevin,42.574,29688484,161652670464,0.030364327907562254,1707.1953125
Stage 3_Kevin,18.728,32576164,123369160704,0.028303520059585568,1545.1953125
Stage 3_JF,10.318,32576164,123369160704,0.023662444639205932,1545.1953125
Last 2_JF,26.734,29688484,161652670464,0.03034965600967407,1707.1953125
Original Model_Kevin,40.938,34015396,170513137664,0.032331075191497805,1713.1953125
Stage 4-5_JF,39.388,21179044,108877840384,0.024456129693984984,1569.1953125
Stage 4-5_Kevin,38.544,21179044,108877840384,0.018806407928466794,1569.1953125
Stage 3-5_JF,23.818,25907620,64541949952,0.015264310312271118,1372.1953125
Stage 3-5_Kevin,18.1,25907620,64541949952,0.015350043249130255,1372.1953125
Stage 2-5_Kevin,10.258,50817700,50004492288,0.01586329579353333,1344.1953125
Stage 2-5_JF,15.048,50817700,50004492288,0.013638564848899842,1344.1953125
