Model,Accuracy,Params,FLOPs,Inference Time,Memory (MB)
Stage 3_JF,11.604,32571812,123234942976,0.013732814288139345,1521.1953125
Original Model_JF,14.432,34015396,170513137664,0.027184788942337036,1713.1953125
Stage 4-5_JF,41.934,21162148,108743622656,0.03332267980575561,1557.1953125
Stage 4-5_Kevin,40.662,21162148,108743622656,0.023104225826263432,1557.1953125
Stage 2-5_Kevin,10.814,50822308,50675580928,0.014814540767669675,1296.1953125
Stage 3_Kevin,21.486,32571812,123234942976,0.04135683336257935,1521.1953125
Last 2_Kevin,43.238,29556900,161384235008,0.025693939065933223,1701.1953125
Stage 3-5_Kevin,20.468,25911204,64676167680,0.029107273483276363,1348.1953125
Stage 2-5_JF,15.604,50822308,50675580928,0.031708583927154546,1296.1953125
Stage 4_Kevin,33.664,28244644,123251720192,0.02631252164840699,1617.1953125
