Model,FLOPs,Inference Time (s)
Stage 3_JF,123234942976.0,0.013732814288139345
Original Model_JF,170513137664.0,0.04837901573181152
Stage 4-5_JF,108743622656.0,0.03332267980575561
Stage 4-5_Kevin,108743622656.0,0.03350204153060913
Stage 2-5_Kevin,50675580928.0,0.014814540767669675
Stage 3_Kevin,123234942976.0,0.04135683336257935
