Model,Params,Time,Accuracy
Last 2_JF,29556900,0.016335873651504518,27.244
Last 2_Kevin,29556900,0.030216454410552974,43.67
Original Model_JF,34015396,0.032407492446899416,18.556
Original Model_Kevin,34015396,0.027197439861297613,41.022
Stage 2-5_JF,50822308,0.014927392053604127,16.51
Stage 2-5_Kevin,50822308,0.0150164671421051,11.036
Stage 3-5_JF,25911204,0.02009078845977783,25.312
Stage 3-5_Kevin,25911204,0.014970969581604002,19.132
Stage 3_JF,32571812,0.013851921629905704,10.424
Stage 3_Kevin,32571812,0.02811411037445068,20.656
Stage 4-5_JF,21162148,0.017717108583450318,41.182
Stage 4-5_Kevin,21162148,0.012807791948318482,40.276
Stage 4_JF,28244644,0.024358998250961304,16.758
Stage 4_Kevin,28244644,0.02768135209083557,32.978
