Model,Accuracy,Params,FLOPs,Inference Time,Memory (MB)
Original Model_JF,18.556,34015396,170513137664,0.032407492446899416,1713.1953125
Last 2_JF,27.244,29556900,161384235008,0.016335873651504518,1701.1953125
Original Model_Kevin,41.022,34015396,170513137664,0.027197439861297613,1713.1953125
Last 2_Kevin,43.67,29556900,161384235008,0.030216454410552974,1701.1953125
Stage 3_JF,10.424,32571812,123234942976,0.013851921629905704,1521.1953125
Stage 4_Kevin,32.978,28244644,123251720192,0.02768135209083557,1617.1953125
Stage 4_JF,16.758,28244644,123251720192,0.024358998250961304,1617.1953125
Stage 3_Kevin,20.656,32571812,123234942976,0.02811411037445068,1521.1953125
Stage 4-5_Kevin,40.276,21162148,108743622656,0.012807791948318482,1557.1953125
Stage 4-5_JF,41.182,21162148,108743622656,0.017717108583450318,1557.1953125
Stage 3-5_JF,25.312,25911204,64676167680,0.02009078845977783,1348.1953125
Stage 3-5_Kevin,19.132,25911204,64676167680,0.014970969581604002,1348.1953125
Stage 2-5_JF,16.51,50822308,50675580928,0.014927392053604127,1296.1953125
Stage 2-5_Kevin,11.036,50822308,50675580928,0.0150164671421051,1296.1953125
