Model,Parameters,Accuracy,Inference Time (s),Memory Usage (bytes),FLOPs
Stage 4-5_Kevin,21162148,40.276,0.012807791948318482,1557.1953125,108743622656
Stage 4-5_JF,21162148,41.182,0.017717108583450318,1557.1953125,108743622656
Stage 3-5_JF,25911204,25.312,0.02009078845977783,1348.1953125,64676167680
Stage 3-5_Kevin,25911204,19.132,0.014970969581604002,1348.1953125,64676167680
Stage 4_Kevin,28244644,32.978,0.02768135209083557,1617.1953125,123251720192
Stage 4_JF,28244644,16.758,0.024358998250961304,1617.1953125,123251720192
Last 2_JF,29556900,27.244,0.016335873651504518,1701.1953125,161384235008
Last 2_Kevin,29556900,43.67,0.030216454410552974,1701.1953125,161384235008
Stage 3_JF,32571812,10.424,0.013851921629905704,1521.1953125,123234942976
Stage 3_Kevin,32571812,20.656,0.02811411037445068,1521.1953125,123234942976
Original Model_JF,34015396,18.556,0.032407492446899416,1713.1953125,170513137664
Original Model_Kevin,34015396,41.022,0.027197439861297613,1713.1953125,170513137664
Stage 2-5_JF,50822308,16.51,0.014927392053604127,1296.1953125,50675580928
Stage 2-5_Kevin,50822308,11.036,0.0150164671421051,1296.1953125,50675580928
