Model,Params,Time,Accuracy
Last 2_JF,29556900,0.025502438306808477,28.618
Last 2_Kevin,29556900,0.025693939065933223,43.238
Original Model_JF,34015396,0.027184788942337036,14.432
Stage 2-5_JF,50822308,0.031708583927154546,15.604
Stage 2-5_Kevin,50822308,0.014814540767669675,10.814
Stage 3-5_Kevin,25911204,0.029107273483276363,20.468
Stage 3_JF,32571812,0.013732814288139345,11.604
Stage 3_Kevin,32571812,0.04135683336257935,21.486
Stage 4-5_JF,21162148,0.03332267980575561,41.934
Stage 4-5_Kevin,21162148,0.023104225826263432,40.662
Stage 4_Kevin,28244644,0.02631252164840699,33.664
