Model,Accuracy,Memory (MB)
Stage 3_JF,11.604,1521.1953125
Original Model_JF,14.432,1713.1953125
Stage 4-5_JF,41.934,1557.1953125
Stage 4-5_Kevin,40.662,1557.1953125
Stage 2-5_Kevin,10.814,1296.1953125
Stage 3_Kevin,21.486,1521.1953125
Last 2_Kevin,43.238,1701.1953125
Stage 3-5_Kevin,20.468,1348.1953125
Stage 2-5_JF,15.368,1296.1953125
Stage 4_Kevin,33.664,1617.1953125
Last 2_JF,28.618,1701.1953125
