Model,FLOPs,Inference Time (s)
Stage 3_JF,123234942976.0,0.013732814288139345
Original Model_JF,170513137664.0,0.027184788942337036
Stage 4-5_JF,108743622656.0,0.03332267980575561
Stage 4-5_Kevin,108743622656.0,0.023104225826263432
Stage 2-5_Kevin,50675580928.0,0.014814540767669675
Stage 3_Kevin,123234942976.0,0.04135683336257935
Last 2_Kevin,161384235008.0,0.025693939065933223
Stage 3-5_Kevin,64676167680.0,0.029107273483276363
Stage 2-5_JF,50675580928.0,0.031708583927154546
Stage 4_Kevin,123251720192.0,0.02631252164840699
