Model,FLOPs,Inference Time (s)
Original Model_JF,170513137664.0,0.016804803419113157
Last 2_JF,161652670464.0,0.02978541264533997
Last 2_Kevin,161652670464.0,0.030272815895080563
Original Model_Kevin,170513137664.0,0.04669216833114624
Stage 4_JF,123385937920.0,0.04166570520401
Stage 3_Kevin,123369160704.0,0.028253625631332397
Stage 3_JF,123369160704.0,0.028311391973495487
Stage 4_Kevin,123385937920.0,0.014409436750411985
Stage 3-5_JF,64541949952.0,0.010549955129623414
Stage 4-5_Kevin,108877840384.0,0.03358336114883422
