Model,Accuracy,Memory (MB)
Stage 3_JF,11.604,1521.1953125
Original Model_JF,14.9,1713.1953125
Stage 4-5_JF,41.934,1557.1953125
Stage 4-5_Kevin,40.858,1557.1953125
Stage 2-5_Kevin,10.814,1296.1953125
Stage 3_Kevin,21.486,1521.1953125
