model,dataset,kind,attack,clean_acc,adv_acc,accuracy_drop
InceptionNet,Cifar10,Finetuned,BIM,0.1,0.1,0.0
InceptionNet,Cifar10,Original,BIM,0.7985,0.5627,0.2358
