Candidate Block,Delta Acc (%),Params Red. (%),FLOPs Red. (%),Memory Red. (%)
Set_10,25.15875,0.4750993502026568,1.1085443185165689,6.996614199136042
Set_6,25.12875,0.4750993502026568,1.1085443185165689,6.996614199136042
Set_17,25.00375,1.1402384404863852,0.6651265911099435,6.996614199136042
Set_12,24.79075,1.1402384404863852,0.6651265911099435,6.996614199136042
Set_8,24.43675,0.4750993502026568,1.1085443185165689,6.996614199136042
Set_5,24.264750000000003,0.4750993502026568,1.1085443185165689,6.996614199136042
Set_9,24.068749999999998,0.4750993502026568,1.1085443185165689,6.996614199136042
Set_11,24.05575,1.1402384404863852,-4.734957131118311,5.162550282857659
Set_18,23.998749999999998,1.1402384404863852,0.6651265911099435,6.996614199136042
Set_3,23.873749999999998,0.1900397400810605,1.7736709096265013,6.996614199136042
Set_16,23.78775,1.1402384404863852,0.6651265911099435,6.996614199136042
Set_14,22.33275,1.1402384404863852,0.6651265911099435,6.996614199136042
Set_0,22.32675,1.7672706037226038,9.410998620133649,-12.540199751637182
Set_15,22.276749999999996,1.1402384404863852,0.6651265911099435,6.996614199136042
Set_7,21.877750000000002,0.4750993502026568,1.1085443185165689,6.996614199136042
Set_13,21.02175,1.1402384404863852,0.6651265911099435,6.996614199136042
Set_1,-4.856249999999999,0.14121008464357265,78.39210685436984,66.43811626351932
