Candidate Block,Delta Acc (%),Params Red. (%),FLOPs Red. (%),Memory Red. (%)
Stage-4 (Full),5.497500000000002,38.98922570157094,29.706368537106343,18.140299435781248
Stage-4 (Full),5.389500000000005,38.98922570157094,29.706368537106343,18.140299435781248
Stage-5 (Full),2.3355000000000032,26.444429787294577,5.040793373701213,1.229730330090184
Stage-5 (Full),2.076500000000003,26.444429787294577,5.040793373701213,1.229730330090184
Stage-4a,-0.8244999999999933,2.101835290709475,1.5956581695667715,0.5402283531032004
Stage-4a,-0.8244999999999933,2.101835290709475,1.5956581695667715,0.5402283531032004
Stage-5b,-1.4664999999999964,9.55939314226445,1.8208916089947458,-0.13505708827579177
Stage-5b,-1.4664999999999964,9.55939314226445,1.8208916089947458,-0.13505708827579177
Stage-5a,-2.927499999999995,5.6676611973943025,1.0799376640581615,-0.11373228486384335
Stage-5a,-2.927499999999995,5.6676611973943025,1.0799376640581615,-0.11373228486384335
Stage-3 (Full),-3.0464999999999947,7.441521205231572,22.663313957671882,11.032031631791728
Stage-3 (Full),-3.0464999999999947,7.441521205231572,22.663313957671882,11.032031631791728
Stage-3a,-3.5974999999999966,1.8493874389087783,5.625611752749871,1.9334488426851482
Stage-3a,-3.5974999999999966,1.8493874389087783,5.625611752749871,1.9334488426851482
Stage-2 (Full),-5.019499999999994,1.6574649941996533,20.174607665034017,0.0
Stage-2 (Full),-5.019499999999994,1.6574649941996533,20.174607665034017,0.0
Stages 3 and 4,-12.881499999999996,55.12377316422431,54.09584791765032,31.867253098760496
Stages 3 and 4,-12.881499999999996,55.12377316422431,54.09584791765032,31.867253098760496
Stages 2 and 3,-13.749499999999994,13.611103566989858,43.80470042966852,6.959882713581234
Stages 2 and 3,-13.749499999999994,13.611103566989858,43.80470042966852,6.959882713581234
