Architecture,Dataset,Optimal_Target,Delta_Acc,Params Reduced (%),FLOPs Reduced (%),Memory Reduced (%)
VGG16,tinyimagenet,Stages 4 and 5,10.468499999999999,31.552412524351304,37.66403192387384,7.341197801155852
MobileNet,tinyimagenet,Middle Features (Full),5.5405000000000015,23.716931185916902,13.876280638049543,1.987095522243243
InceptionNet,tinyimagenet,Stage-4 (Full),5.497500000000002,38.98922570157094,29.706368537106343,18.140299435781248
RegNetX_400MF,tinyimagenet,Stage-4 first 2 conv,2.8800000000000026,12.764335875444788,7.4791857238096675,9.849602513346845
XceptionNet,tinyimagenet,Block-4,-0.27549999999999386,2.5569229446618436,2.2962550320907105,0.26816169961640934
ConvNeXt,tinyimagenet,Stage-2 (Full),-7.546499999999995,3.2471378349154256,15.896996358903836,-68.53719820836824
