Candidate Block,Delta Acc (%),Params Red. (%),FLOPs Red. (%),Memory Red. (%)
Stages 4 and 5,10.468499999999999,31.552412524351304,37.66403192387384,7.341197801155852
Stages 4 and 5,10.468499999999999,31.552412524351304,37.66403192387384,7.341197801155852
Stages 3 and 4,6.764499999999998,17.951389509462324,57.63691709513212,11.840641614767499
Stages 3 and 4,6.125500000000002,17.951389509462324,57.63691709513212,11.840641614767499
Stage-5 (Full),4.488500000000002,16.73904380474808,8.513672524492877,0.7104384968860455
Stage-3 (Full),3.5625,3.5427645087994675,28.81845854756606,5.683507975088398
Stage-3 (Full),3.5625,3.5427645087994675,28.81845854756606,5.683507975088398
Stage-4 (Full),1.8524999999999991,14.16477319484164,28.81590054485458,2.8417539875442044
Stage-4 (Full),1.8524999999999991,14.16477319484164,28.81590054485458,2.8417539875442044
Conv 3,1.599499999999999,0.16057767110133625,5.208093520579126,-11.367015950176796
Conv 3,1.599499999999999,0.16057767110133625,5.208093520579126,-11.367015950176796
Conv 1,0.8575000000000017,0.003613783204825527,0.4297444555291241,-22.734031900353592
Conv 1,0.8575000000000017,0.003613783204825527,0.4297444555291241,-22.734031900353592
Stage-5 (Full),0.6124999999999972,16.73904380474808,8.513672524492877,0.7104384968860455
Conv 2,-0.18149999999999977,0.08028883555066813,10.416187041158265,-22.734031900353592
Stage-1 (Full),-2.5625,0.0945868473610667,12.257948993425938,0.0
Stage-1 (Full),-2.5625,0.0945868473610667,12.257948993425938,0.0
Conv 9,-2.685500000000001,5.147284251741635,10.469905098099408,-2.8417539875442044
Stage-2 (Full),-3.525500000000001,0.5235272016728687,17.015834036784085,0.0
Stage-2 (Full),-3.525500000000001,0.5235272016728687,17.015834036784085,0.0
Stages 1 and 2,-3.9795000000000016,0.6383826591827346,29.87747167011997,13.261518608539602
Stages 1 and 2,-3.9795000000000016,0.6383826591827346,29.87747167011997,13.261518608539602
Conv 13,-4.2684999999999995,5.147284251741635,2.6174762745248548,-0.7104384968860566
Conv 13,-4.2684999999999995,5.147284251741635,2.6174762745248548,-0.7104384968860566
Conv 10,-4.317500000000003,5.147284251741635,10.469905098099408,-2.8417539875442044
Conv 10,-4.317500000000003,5.147284251741635,10.469905098099408,-2.8417539875442044
Conv 9,-4.359500000000001,5.147284251741635,10.469905098099408,-2.8417539875442044
Conv 2,-7.482500000000002,0.08028883555066813,10.416187041158265,-22.734031900353592
