model,dataset,original_clean_acc,original_robust_accuracy_mean,original_attack_success_rate_mean,original_param_count,collapsed_clean_acc,collapsed_robust_accuracy_mean,collapsed_attack_success_rate_mean,collapsed_param_count,collapsed_minus_original_clean_acc,params_reduction_percent
ConvNeXt,Cifar100_epochs300_pretrain100,0.412,0.0016,0.9984,27897028.0,0.0095,0.0,1.0,2551876.0,-0.40249999999999997,90.85251661933307
ConvNeXt,Cifar10_epochs300_pretrain100,0.7556,0.02625,0.97375,27827818.0,0.06735,0.0045000000000000005,0.9955,2518762.0,-0.68825,90.9487621343506
InceptionNet,Cifar100_epochs300_pretrain100,0.5658,0.0018,0.9982,6083332.0,0.5715,0.0079,0.9921,3638308.0,0.005700000000000038,40.192184151711594
InceptionNet,Cifar10_epochs300_pretrain100,0.8596,0.0121,0.9879,5991082.0,0.8548,0.0069,0.9931,4400554.0,-0.0048000000000000265,26.54825956313067
RegNetX_400MF,Cifar100_epochs300_pretrain100,0.358,0.0021,0.9979,4811012.0,0.4007,0.0012,0.9988,4032260.0,0.042700000000000016,16.18686463471719
RegNetX_400MF,Cifar10_epochs300_pretrain100,0.7663,0.0121,0.9879,4776362.0,0.7867,0.0356,0.9644,3997610.0,0.020399999999999974,16.30429184387615
VGG16,Cifar10_epochs300_pretrain100,0.9287,0.1883,0.8117,33663050.0,,,,,,
XceptionNet,Cifar100_epochs300_pretrain100,0.5986,0.0579,0.9421,21011852.0,0.6048,0.0027,0.9973,13481196.0,0.006199999999999983,35.840039231192
XceptionNet,Cifar10_epochs300_pretrain100,0.8826,0.0103,0.9897,20827442.0,0.875,0.0021,0.9979,13839874.0,-0.007600000000000051,33.549813750531634
