model,dataset,kind,attack,model_label,param_count,clean_acc,adv_acc,robust_accuracy,clean_error_rate,adv_error_rate,attack_success_rate,accuracy_drop,relative_accuracy_drop,robustness_ratio
XceptionNet,Cifar100,Finetuned,PGD,XceptionNet (Finetuned),13481196,0.601,0.0867,0.0867,0.399,0.9133,0.9133,0.5143,0.8557404326123128,0.1442595673876872
XceptionNet,Cifar100,Original,PGD,XceptionNet (Original),21011852,0.5915,0.0729,0.0729,0.4085,0.9271,0.9271,0.5186000000000001,0.8767540152155537,0.12324598478444633
