model,dataset,kind,model_label,param_count,flops,latency_ms,throughput_imgs_s,peak_memory_mb,robust_accuracy,attack_success_rate,transfer_success_rate,transfer_resistance,explainability_delta_asr,explainability_shap_cosine_similarity,explainability_shap_pearson_r,explainability_shap_spearman_r,explainability_shap_topk_jaccard,explainability_shap_l1_mean_abs_diff,explainability_shap_l2_distance,explainability_shap_pair_count,robustness_per_flop,transfer_resistance_per_latency
VGG16,Cifar10_epochs300_pretrain100,Control_Continuted,VGG16 (Control_Continuted),33663050,,17.3901557456702,14720.972241076039,2212.294921875,,,,,,,,,,,,,,
VGG16,Cifar100_epochs300_pretrain100,Control_Continuted,VGG16 (Control_Continuted),34031780,,18.735641450621188,13663.796922816977,2212.3828125,,,,,,,,,,,,,,
VGG16,tinyimagenet_epochs300_pretrain100,Control_Continuted,VGG16 (Control_Continuted),40732936,,51.709135551936924,4950.769284140754,3070.48046875,,,,,,,,,,,,,,
RegNetX_400MF,Cifar10_epochs300_pretrain100,Control_Continuted,RegNetX_400MF (Control_Continuted),4776362,,10.276141506619751,24912.07422893975,2026.044921875,,,,,,,,,,,,,,
RegNetX_400MF,Cifar10_epochs300_pretrain100,Dynamic_Region_All_Combined,RegNetX_400MF (Dynamic_Region_All_Combined),3997610,,9.379970445297658,27292.196867031413,2026.044921875,,,,,,,,,,,,,,
RegNetX_400MF,Cifar10_epochs300_pretrain100,Dynamic_Region_All_Combined_quant,RegNetX_400MF (Dynamic_Region_All_Combined_quant),3997610,,9.716690983623266,26346.417770357035,1927.4326171875,,,,,,,,,,,,,,
RegNetX_400MF,Cifar100_epochs300_pretrain100,Control_Continuted,RegNetX_400MF (Control_Continuted),4811012,,11.327490000985563,22599.88752828088,1926.5205078125,,,,,,,,,,,,,,
RegNetX_400MF,Cifar100_epochs300_pretrain100,Dynamic_Region_All_Combined,RegNetX_400MF (Dynamic_Region_All_Combined),4032260,,10.382417286746204,24657.0709816104,1926.5205078125,,,,,,,,,,,,,,
RegNetX_400MF,Cifar100_epochs300_pretrain100,Dynamic_Region_All_Combined_quant,RegNetX_400MF (Dynamic_Region_All_Combined_quant),4032260,,9.56937549635768,26752.00697239223,1926.5205078125,,,,,,,,,,,,,,
RegNetX_400MF,tinyimagenet_epochs300_pretrain100,Control_Continuted,RegNetX_400MF (Control_Continuted),4849512,,12.133817514404655,21098.05918014588,2231.8681640625,0.0013,0.9987,,,,,,,,,,,,
RegNetX_400MF,tinyimagenet_epochs300_pretrain100,Dynamic_Region_All_Combined,RegNetX_400MF (Dynamic_Region_All_Combined),3493224,,12.338469922542572,20748.115577303804,2231.8681640625,0.0016,0.9984,,,,,,,,,,,,
RegNetX_400MF,tinyimagenet_epochs300_pretrain100,Dynamic_Region_All_Combined_quant,RegNetX_400MF (Dynamic_Region_All_Combined_quant),3493224,,12.759612337686121,20063.305469233717,2231.8681640625,0.0011,0.9989,,,,,,,,,,,,
InceptionNet,Cifar10_epochs300_pretrain100,Control_Continuted,InceptionNet (Control_Continuted),5991082,,12.745427060872316,20085.635324523915,1960.1201171875,,,,,,,,,,,,,,
InceptionNet,Cifar10_epochs300_pretrain100,Dynamic_Region_All_Combined,InceptionNet (Dynamic_Region_All_Combined),4400554,,10.231638886034489,25020.42955693277,1960.1201171875,,,,,,,,,,,,,,
InceptionNet,Cifar10_epochs300_pretrain100,Dynamic_Region_All_Combined_quant,InceptionNet (Dynamic_Region_All_Combined_quant),4400554,,11.765701184049249,21758.159245711508,1960.1201171875,,,,,,,,,,,,,,
InceptionNet,Cifar100_epochs300_pretrain100,Control_Continuted,InceptionNet (Control_Continuted),6083332,,13.262814492918551,19302.087059778056,1960.2080078125,,,,,,,,,,,,,,
InceptionNet,Cifar100_epochs300_pretrain100,Dynamic_Region_All_Combined,InceptionNet (Dynamic_Region_All_Combined),3638308,,8.528231456875801,30017.947014512905,1960.2080078125,,,,,,,,,,,,,,
