source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Finetuned),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.9908,0.8861,0.8220000000000001,0.838,0.8964,0.9157,0.9356,0.7801,0.8583000000000001,0.7989999999999999,0.8045
ConvNeXt (Original),0.9913,0.9121,0.8262,0.8442000000000001,0.8988,0.9183,0.937,0.782,0.8593999999999999,0.8037,0.8071
InceptionNet (Finetuned),0.9907,0.8862,0.8424,0.8531,0.899,0.918,0.9363,0.7933,0.8638,0.8122,0.8150999999999999
InceptionNet (Original),0.9907,0.8863,0.8331,0.8649,0.8996999999999999,0.9173,0.9363,0.792,0.8654999999999999,0.808,0.8119000000000001
MobileNet (Original),0.9908,0.8851,0.8251999999999999,0.8441,0.9153,0.9192,0.9385,0.7894,0.8634,0.8069,0.8127
RegNetX_400MF (Finetuned),0.9909,0.8879,0.8240000000000001,0.8418,0.9007000000000001,0.9268,0.9409,0.7872,0.8609,0.8041,0.8113
RegNetX_400MF (Original),0.9909,0.8862,0.8249,0.8404,0.8988,0.9238,0.9486,0.7847,0.8583000000000001,0.8034,0.8079000000000001
VGG16 (Finetuned),0.9909,0.8854,0.8239,0.8419,0.8996999999999999,0.9168,0.9366,0.8251,0.8694999999999999,0.8002,0.8078
VGG16 (Original),0.9906,0.8857,0.8271,0.8452,0.9003,0.9177,0.9363,0.8160000000000001,0.8972,0.804,0.8096
XceptionNet (Finetuned),0.9912,0.886,0.8314,0.8482000000000001,0.9001,0.9174,0.9366,0.7893,0.8634999999999999,0.8322,0.8216
XceptionNet (Original),0.991,0.8866,0.8291,0.8479,0.9019,0.9199,0.9375,0.7948,0.8644000000000001,0.8207,0.8492
