source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Finetuned),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.9912,0.5907,0.4294,0.4544,0.5775,0.6046,0.6509,0.3262,0.4546,0.4028,0.4115
ConvNeXt (Original),0.9899,0.9649,0.6619999999999999,0.6890000000000001,0.8023,0.8323,0.87,0.5522,0.6854,0.6276999999999999,0.6355999999999999
InceptionNet (Finetuned),0.9902,0.8472,0.9512,0.8008,0.86,0.8801,0.9036,0.6614,0.782,0.7372000000000001,0.7403
InceptionNet (Original),0.9892,0.8365,0.754,0.9513,0.8491,0.8707,0.8924,0.6412,0.7684,0.7101999999999999,0.7198
MobileNet (Original),0.9909,0.8047,0.6704,0.7022999999999999,0.9613,0.8502000000000001,0.8824,0.5628,0.6964,0.6339,0.6517
RegNetX_400MF (Finetuned),0.9895,0.8003,0.6594,0.6868000000000001,0.8138,0.972,0.8897,0.5474,0.6805,0.6236999999999999,0.6366
RegNetX_400MF (Original),0.9899,0.7861,0.6306,0.6573,0.7908,0.833,0.9814,0.5178,0.6537,0.5948,0.6093
VGG16 (Finetuned),0.9902,0.852,0.7774,0.7991,0.8647,0.886,0.9052,0.9021,0.8276,0.7484,0.7565999999999999
VGG16 (Original),0.9898,0.8206,0.7188,0.749,0.831,0.8512,0.8777,0.6456999999999999,0.9468,0.6889000000000001,0.6959
XceptionNet (Finetuned),0.9896,0.8516,0.7731,0.7925,0.8652,0.8849,0.9066,0.6689,0.7887,0.9315,0.7729
XceptionNet (Original),0.9901,0.8451,0.7656000000000001,0.7884,0.8664000000000001,0.886,0.9062,0.6634,0.7837000000000001,0.7504,0.9399
