model,dataset,attack,n_original,n_finetuned,mean_asr_original,std_asr_original,mean_asr_finetuned,std_asr_finetuned,delta_asr,t_statistic,p_value_ttest,p_value_kruskal,significant_at_0.05,effect_size_abs
ConvNeXt,Cifar10|epochs3_pretrain3,APGD,1,1,0.8809,,0.9745,,0.09360000000000002,,,,False,0.09360000000000002
ConvNeXt,Cifar10|epochs3_pretrain3,BIM,1,2,0.6149,,0.95955,0.0037476659402887603,0.34465,,,,False,0.34465
ConvNeXt,Cifar10|epochs3_pretrain3,CW,1,1,0.8743,,0.9836,,0.10930000000000006,,,,False,0.10930000000000006
ConvNeXt,Cifar10|epochs3_pretrain3,DeepFool,1,1,0.9847,,0.9543,,-0.030399999999999983,,,,False,0.030399999999999983
ConvNeXt,Cifar10|epochs3_pretrain3,FGSM,1,1,0.8212,,0.9157,,0.09449999999999992,,,,False,0.09449999999999992
ConvNeXt,Cifar10|epochs3_pretrain3,PGD,1,1,0.825,,0.9303,,0.10530000000000006,,,,False,0.10530000000000006
InceptionNet,Cifar100|epochs100_pretrain300,APGD,1,1,0.9611,,0.942,,-0.019100000000000006,,,,False,0.019100000000000006
InceptionNet,Cifar100|epochs100_pretrain300,BIM,2,2,0.70045,7.071067811864696e-05,0.64025,7.071067811864696e-05,-0.06020000000000003,-602.0000000000666,0.0010575069548437177,,True,0.06020000000000003
InceptionNet,Cifar100|epochs100_pretrain300,CW,1,1,0.9964,,0.985,,-0.011399999999999966,,,,False,0.011399999999999966
InceptionNet,Cifar100|epochs100_pretrain300,FGSM,1,1,0.8644000000000001,,0.8425,,-0.02190000000000003,,,,False,0.02190000000000003
InceptionNet,Cifar100|epochs100_pretrain300,PGD,1,1,0.9397,,0.9147,,-0.025000000000000022,,,,False,0.025000000000000022
InceptionNet,Cifar100|epochs200_pretrain200,APGD,1,1,0.9565,,0.9408,,-0.015700000000000047,,,,False,0.015700000000000047
InceptionNet,Cifar100|epochs200_pretrain200,BIM,1,1,0.6793,,0.6386000000000001,,-0.04069999999999996,,,,False,0.04069999999999996
InceptionNet,Cifar100|epochs200_pretrain200,CW,1,1,0.9973,,0.9831,,-0.01419999999999999,,,,False,0.01419999999999999
InceptionNet,Cifar100|epochs200_pretrain200,FGSM,1,1,0.8556,,0.8435,,-0.0121,,,,False,0.0121
InceptionNet,Cifar100|epochs200_pretrain200,PGD,1,1,0.9312,,0.9124,,-0.01880000000000004,,,,False,0.01880000000000004
InceptionNet,Cifar100|epochs300_pretrain100,APGD,1,1,0.9528,,0.9475,,-0.005299999999999971,,,,False,0.005299999999999971
InceptionNet,Cifar100|epochs300_pretrain100,BIM,1,2,0.6662,,0.6613,0.00014142135623729392,-0.0049000000000000155,,,,False,0.0049000000000000155
InceptionNet,Cifar100|epochs300_pretrain100,CW,1,1,0.9981,,0.9923,,-0.005800000000000027,,,,False,0.005800000000000027
InceptionNet,Cifar100|epochs300_pretrain100,FGSM,1,1,0.8576,,0.8501,,-0.007500000000000062,,,,False,0.007500000000000062
InceptionNet,Cifar100|epochs300_pretrain100,PGD,1,1,0.9287,,0.9217,,-0.007000000000000006,,,,False,0.007000000000000006
InceptionNet,Cifar100|epochs3_pretrain3,APGD,1,1,0.9854,,0.9836,,-0.0018000000000000238,,,,False,0.0018000000000000238
InceptionNet,Cifar100|epochs3_pretrain3,BIM,1,1,0.8621,,0.8349,,-0.027200000000000002,,,,False,0.027200000000000002
InceptionNet,Cifar100|epochs3_pretrain3,CW,1,1,0.9881,,0.9885,,0.00040000000000006697,,,,False,0.00040000000000006697
InceptionNet,Cifar100|epochs3_pretrain3,FGSM,1,1,0.9505,,0.9519,,0.0013999999999999568,,,,False,0.0013999999999999568
InceptionNet,Cifar100|epochs3_pretrain3,PGD,1,1,0.9706,,0.97,,-0.0006000000000000449,,,,False,0.0006000000000000449
InceptionNet,Cifar10|epochs100_pretrain300,APGD,1,1,0.8445,,0.8204,,-0.02410000000000001,,,,False,0.02410000000000001
InceptionNet,Cifar10|epochs100_pretrain300,BIM,1,1,0.3566,,0.3201,,-0.03649999999999998,,,,False,0.03649999999999998
InceptionNet,Cifar10|epochs100_pretrain300,CW,1,1,0.9931,,0.9823,,-0.010800000000000032,,,,False,0.010800000000000032
InceptionNet,Cifar10|epochs100_pretrain300,DeepFool,1,1,0.8278,,0.8321000000000001,,0.0043000000000000815,,,,False,0.0043000000000000815
InceptionNet,Cifar10|epochs100_pretrain300,FGSM,1,1,0.5967,,0.5849,,-0.011800000000000033,,,,False,0.011800000000000033
InceptionNet,Cifar10|epochs200_pretrain200,APGD,1,1,0.8231999999999999,,0.8199,,-0.0032999999999999696,,,,False,0.0032999999999999696
InceptionNet,Cifar10|epochs200_pretrain200,BIM,1,1,0.3284,,0.3265,,-0.0019000000000000128,,,,False,0.0019000000000000128
InceptionNet,Cifar10|epochs200_pretrain200,CW,1,1,0.9904,,0.993,,0.0026000000000000467,,,,False,0.0026000000000000467
InceptionNet,Cifar10|epochs200_pretrain200,DeepFool,1,1,0.8315,,0.8148,,-0.016700000000000048,,,,False,0.016700000000000048
InceptionNet,Cifar10|epochs200_pretrain200,FGSM,1,1,0.5887,,0.5918,,0.0030999999999999917,,,,False,0.0030999999999999917
InceptionNet,Cifar10|epochs300_pretrain100,APGD,1,1,0.8207,,0.8333,,0.012600000000000056,,,,False,0.012600000000000056
InceptionNet,Cifar10|epochs300_pretrain100,BIM,1,1,0.3201,,0.3521999999999999,,0.032099999999999906,,,,False,0.032099999999999906
InceptionNet,Cifar10|epochs300_pretrain100,CW,1,1,0.9881,,0.9931,,0.0050000000000000044,,,,False,0.0050000000000000044
InceptionNet,Cifar10|epochs300_pretrain100,DeepFool,1,1,0.8225,,0.8091,,-0.013399999999999967,,,,False,0.013399999999999967
InceptionNet,Cifar10|epochs300_pretrain100,FGSM,1,1,0.5916,,0.5766,,-0.015000000000000013,,,,False,0.015000000000000013
InceptionNet,Cifar10|epochs3_pretrain3,APGD,1,1,0.9258,,0.9072,,-0.01859999999999995,,,,False,0.01859999999999995
InceptionNet,Cifar10|epochs3_pretrain3,BIM,1,1,0.5786,,0.5556,,-0.02300000000000002,,,,False,0.02300000000000002
InceptionNet,Cifar10|epochs3_pretrain3,CW,1,1,0.9689,,0.9651,,-0.0038000000000000256,,,,False,0.0038000000000000256
InceptionNet,Cifar10|epochs3_pretrain3,DeepFool,1,1,0.892,,0.8835999999999999,,-0.008400000000000074,,,,False,0.008400000000000074
InceptionNet,Cifar10|epochs3_pretrain3,FGSM,1,1,0.7846,,0.734,,-0.05059999999999998,,,,False,0.05059999999999998
RegNetX_400MF,Cifar100|epochs100_pretrain300,APGD,1,1,0.9921,,0.987,,-0.005099999999999993,,,,False,0.005099999999999993
RegNetX_400MF,Cifar100|epochs100_pretrain300,BIM,1,1,0.8482000000000001,,0.8068,,-0.0414000000000001,,,,False,0.0414000000000001
RegNetX_400MF,Cifar100|epochs100_pretrain300,CW,1,1,0.9995,,0.9987,,-0.0008000000000000229,,,,False,0.0008000000000000229
RegNetX_400MF,Cifar100|epochs100_pretrain300,FGSM,1,1,0.9486,,0.9271,,-0.021499999999999964,,,,False,0.021499999999999964
RegNetX_400MF,Cifar100|epochs100_pretrain300,PGD,1,1,0.9802,,0.9705,,-0.009699999999999931,,,,False,0.009699999999999931
RegNetX_400MF,Cifar100|epochs200_pretrain200,APGD,1,1,0.9885,,0.9832,,-0.005300000000000082,,,,False,0.005300000000000082
RegNetX_400MF,Cifar100|epochs200_pretrain200,BIM,1,1,0.8261000000000001,,0.7964,,-0.02970000000000006,,,,False,0.02970000000000006
RegNetX_400MF,Cifar100|epochs200_pretrain200,CW,1,1,0.999,,0.9989,,-9.999999999998899e-05,,,,False,9.999999999998899e-05
RegNetX_400MF,Cifar100|epochs200_pretrain200,FGSM,1,1,0.9396,,0.923,,-0.016599999999999948,,,,False,0.016599999999999948
RegNetX_400MF,Cifar100|epochs200_pretrain200,PGD,1,1,0.9741,,0.964,,-0.010099999999999998,,,,False,0.010099999999999998
RegNetX_400MF,Cifar100|epochs300_pretrain100,APGD,1,1,0.9852,,0.9844,,-0.0007999999999999119,,,,False,0.0007999999999999119
RegNetX_400MF,Cifar100|epochs300_pretrain100,BIM,1,1,0.8123,,0.8011,,-0.011199999999999988,,,,False,0.011199999999999988
RegNetX_400MF,Cifar100|epochs300_pretrain100,CW,1,1,0.998,,0.9987,,0.0007000000000000339,,,,False,0.0007000000000000339
RegNetX_400MF,Cifar100|epochs300_pretrain100,FGSM,1,1,0.9338,,0.928,,-0.005799999999999916,,,,False,0.005799999999999916
RegNetX_400MF,Cifar100|epochs300_pretrain100,PGD,1,1,0.9692,,0.9684,,-0.0007999999999999119,,,,False,0.0007999999999999119
RegNetX_400MF,Cifar100|epochs3_pretrain3,APGD,1,1,0.9994,,0.9973,,-0.0020999999999999908,,,,False,0.0020999999999999908
RegNetX_400MF,Cifar100|epochs3_pretrain3,BIM,1,1,0.9884,,0.9685,,-0.019899999999999918,,,,False,0.019899999999999918
RegNetX_400MF,Cifar100|epochs3_pretrain3,CW,1,1,0.9995,,0.9978,,-0.0017000000000000348,,,,False,0.0017000000000000348
RegNetX_400MF,Cifar100|epochs3_pretrain3,FGSM,1,1,0.9791,,0.971,,-0.008099999999999996,,,,False,0.008099999999999996
RegNetX_400MF,Cifar100|epochs3_pretrain3,PGD,1,1,0.9957,,0.9902,,-0.00550000000000006,,,,False,0.00550000000000006
RegNetX_400MF,Cifar10|epochs100_pretrain300,APGD,1,1,0.9584,,0.9101,,-0.04830000000000001,,,,False,0.04830000000000001
RegNetX_400MF,Cifar10|epochs100_pretrain300,BIM,1,1,0.6173,,0.4608,,-0.15649999999999997,,,,False,0.15649999999999997
RegNetX_400MF,Cifar10|epochs100_pretrain300,CW,1,1,0.9955,,0.9891,,-0.006400000000000072,,,,False,0.006400000000000072
RegNetX_400MF,Cifar10|epochs100_pretrain300,DeepFool,1,1,0.8891,,0.8638,,-0.02529999999999999,,,,False,0.02529999999999999
RegNetX_400MF,Cifar10|epochs100_pretrain300,FGSM,1,1,0.7662,,0.6944,,-0.07179999999999997,,,,False,0.07179999999999997
RegNetX_400MF,Cifar10|epochs100_pretrain300,PGD,1,1,0.9177,,0.8491,,-0.0686,,,,False,0.0686
RegNetX_400MF,Cifar10|epochs200_pretrain200,APGD,1,1,0.9344,,0.9137,,-0.02070000000000005,,,,False,0.02070000000000005
RegNetX_400MF,Cifar10|epochs200_pretrain200,BIM,1,1,0.5307999999999999,,0.482,,-0.048799999999999955,,,,False,0.048799999999999955
RegNetX_400MF,Cifar10|epochs200_pretrain200,CW,1,1,0.9943,,0.9882,,-0.006099999999999994,,,,False,0.006099999999999994
RegNetX_400MF,Cifar10|epochs200_pretrain200,DeepFool,1,1,0.8934,,0.8756,,-0.017799999999999927,,,,False,0.017799999999999927
RegNetX_400MF,Cifar10|epochs200_pretrain200,FGSM,1,1,0.7358,,0.718,,-0.017800000000000038,,,,False,0.017800000000000038
RegNetX_400MF,Cifar10|epochs200_pretrain200,PGD,1,1,0.8807,,0.8621,,-0.01860000000000006,,,,False,0.01860000000000006
RegNetX_400MF,Cifar10|epochs300_pretrain100,APGD,1,1,0.916,,0.9328,,0.016799999999999926,,,,False,0.016799999999999926
RegNetX_400MF,Cifar10|epochs300_pretrain100,BIM,1,1,0.4832999999999999,,0.4889,,0.005600000000000105,,,,False,0.005600000000000105
RegNetX_400MF,Cifar10|epochs300_pretrain100,CW,1,1,0.9879,,0.9642,,-0.023700000000000054,,,,False,0.023700000000000054
RegNetX_400MF,Cifar10|epochs300_pretrain100,DeepFool,1,1,0.8787,,0.8651,,-0.013600000000000056,,,,False,0.013600000000000056
RegNetX_400MF,Cifar10|epochs300_pretrain100,FGSM,1,1,0.7221,,0.7150000000000001,,-0.007099999999999884,,,,False,0.007099999999999884
RegNetX_400MF,Cifar10|epochs300_pretrain100,PGD,1,1,0.8651,,0.8759,,0.010800000000000032,,,,False,0.010800000000000032
RegNetX_400MF,Cifar10|epochs3_pretrain3,APGD,1,1,0.9932,,0.9844,,-0.008799999999999919,,,,False,0.008799999999999919
