model,dataset,kind,attack,model_label,param_count,clean_acc,adv_acc,robust_accuracy,clean_error_rate,adv_error_rate,attack_success_rate,accuracy_drop,relative_accuracy_drop,robustness_ratio
VGG16,Cifar10_epochs3_pretrain3,Finetuned,CW,VGG16 (Finetuned),21893450,0.7592,0.0394,0.0394,0.24080000000000001,0.9606,0.9606,0.7198,0.9481032665964173,0.051896733403582716
VGG16,Cifar10_epochs100_pretrain300,Finetuned,CW,VGG16 (Finetuned),21893450,0.9167,0.0119,0.0119,0.08330000000000004,0.9881,0.9881,0.9047999999999999,0.9870186538671321,0.012981346132867897
VGG16,Cifar10_epochs200_pretrain200,Original,CW,VGG16 (Original),33663050,0.9245,0.0053,0.0053,0.07550000000000001,0.9947,0.9947,0.9192,0.9942671714440239,0.005732828555976203
VGG16,Cifar10_epochs300_pretrain100,Original,CW,VGG16 (Original),33663050,0.9287,0.0008,0.0008,0.07130000000000003,0.9992,0.9992,0.9279,0.9991385808118876,0.0008614191881124153
VGG16,Cifar10_epochs3_pretrain3,Original,CW,VGG16 (Original),33663050,0.5429,0.1037,0.1037,0.45709999999999995,0.8963,0.8963,0.43920000000000003,0.8089887640449438,0.19101123595505617
VGG16,Cifar10_epochs100_pretrain300,Original,CW,VGG16 (Original),33663050,0.9204,0.0008,0.0008,0.0796,0.9992,0.9992,0.9196,0.9991308126901347,0.000869187309865276
