model,dataset,kind,attack,model_label,param_count,clean_acc,adv_acc,robust_accuracy,clean_error_rate,adv_error_rate,attack_success_rate,accuracy_drop,relative_accuracy_drop,robustness_ratio
RegNetX_400MF,Cifar10_epochs200_pretrain200,Finetuned,DeepFool,RegNetX_400MF (Finetuned),3997610,0.769,0.124,0.124,0.23099999999999998,0.876,0.876,0.645,0.8387516254876463,0.16124837451235371
RegNetX_400MF,Cifar10_epochs300_pretrain100,Finetuned,DeepFool,RegNetX_400MF (Finetuned),3997610,0.7867,0.1328,0.1328,0.21330000000000005,0.8672,0.8672,0.6538999999999999,0.8311935934918011,0.1688064065081988
RegNetX_400MF,Cifar10_epochs100_pretrain300,Finetuned,DeepFool,RegNetX_400MF (Finetuned),3997610,0.7868,0.1374,0.1374,0.21319999999999995,0.8626,0.8626,0.6494000000000001,0.8253685815963396,0.17463141840366037
RegNetX_400MF,Cifar10_epochs3_pretrain3,Finetuned,DeepFool,RegNetX_400MF (Finetuned),3997610,0.374,0.0506,0.0506,0.626,0.9494,0.9494,0.3234,0.8647058823529412,0.13529411764705881
RegNetX_400MF,Cifar10_epochs200_pretrain200,Original,DeepFool,RegNetX_400MF (Original),4776362,0.733,0.1084,0.1084,0.267,0.8916,0.8916,0.6246,0.8521145975443384,0.14788540245566167
RegNetX_400MF,Cifar10_epochs300_pretrain100,Original,DeepFool,RegNetX_400MF (Original),4776362,0.7663,0.1248,0.1248,0.23370000000000002,0.8752,0.8752,0.6415,0.8371395015007177,0.16286049849928227
RegNetX_400MF,Cifar10_epochs100_pretrain300,Original,DeepFool,RegNetX_400MF (Original),4776362,0.7167,0.1102,0.1102,0.2833,0.8898,0.8898,0.6065,0.8462397097809404,0.1537602902190596
RegNetX_400MF,Cifar10_epochs3_pretrain3,Original,DeepFool,RegNetX_400MF (Original),4776362,0.3104,0.0523,0.0523,0.6896,0.9477,0.9477,0.2581,0.8315077319587628,0.1684922680412371
