model,dataset,attack,original_clean_acc,original_robust_accuracy,original_attack_success_rate,original_relative_accuracy_drop,original_robustness_ratio,original_param_count,collapsed_clean_acc,collapsed_robust_accuracy,collapsed_attack_success_rate,collapsed_relative_accuracy_drop,collapsed_robustness_ratio,collapsed_param_count,collapsed_minus_original_attack_success_rate,collapsed_minus_original_robust_accuracy,collapsed_minus_original_relative_accuracy_drop,collapsed_minus_original_robustness_ratio,params_reduction_percent
ConvNeXt,Cifar100_epochs300_pretrain100,DeepFool,0.412,0.0487,0.9513,0.8817961165048543,0.1182038834951456,27897028.0,0.01,0.0017,0.9983,0.83,0.1699999999999999,2551876.0,0.04699999999999993,-0.047,-0.051796116504854384,0.0517961165048543,90.85251661933307
ConvNeXt,Cifar10_epochs300_pretrain100,DeepFool,0.7556,0.0501,0.9499,0.9336950767601906,0.0663049232398094,27827818.0,0.0693,0.0145,0.9855,0.7907647907647908,0.2092352092352092,2518762.0,0.035600000000000076,-0.0356,-0.1429302859953998,0.1429302859953998,90.9487621343506
InceptionNet,Cifar10_epochs300_pretrain100,DeepFool,0.8596,0.139,0.861,0.8382968822708237,0.1617031177291763,5991082.0,0.8548,0.1545,0.8455,0.8192559663079083,0.1807440336920917,4400554.0,-0.015499999999999958,0.015499999999999986,-0.01904091596291535,0.019040915962915378,26.54825956313067
InceptionNet,tinyimagenet_epochs300_pretrain100,CW,0.0045,0.0023,0.9977,0.4888888888888889,0.5111111111111112,6185832.0,0.0041,0.0024,0.9976,0.4146341463414635,0.5853658536585364,3294184.0,-9.999999999998899e-05,9.999999999999983e-05,-0.07425474254742537,0.07425474254742526,46.746306721553374
RegNetX_400MF,Cifar100_epochs300_pretrain100,DeepFool,0.358,0.0215,0.9785,0.9399441340782122,0.0600558659217877,4811012.0,0.4007,0.0273,0.9727,0.9318692288495134,0.0681307711504866,4032260.0,-0.005800000000000027,0.005800000000000003,-0.008074905228698803,0.0080749052286989,16.18686463471719
RegNetX_400MF,Cifar10_epochs300_pretrain100,DeepFool,0.7663,0.1235,0.8765000000000001,0.838835965026752,0.161164034973248,4776362.0,0.7867,0.1342,0.8658,0.829414007881022,0.170585992118978,3997610.0,-0.010700000000000043,0.010700000000000015,-0.009421957145729909,0.00942195714573002,16.30429184387615
XceptionNet,Cifar100_epochs300_pretrain100,DeepFool,0.5984,0.0666,0.9334,0.8887032085561497,0.1112967914438502,21011852.0,0.6048,0.0717,0.9283,0.8814484126984127,0.1185515873015873,13481196.0,-0.005099999999999993,0.005099999999999993,-0.007254795857737029,0.007254795857737098,35.840039231192
XceptionNet,Cifar10_epochs300_pretrain100,CW,0.8827,0.0107,0.9893,0.9878781012801632,0.0121218987198368,20827442.0,0.8751,0.0019,0.9981,0.9978288195634784,0.0021711804365215,13839874.0,0.00880000000000003,-0.008799999999999999,0.009950718283315174,-0.0099507182833153,33.549813750531634
XceptionNet,Cifar10_epochs300_pretrain100,DeepFool,0.8826,0.1811,0.8189,0.7948107863131656,0.2051892136868343,20827442.0,0.875,0.1981,0.8019000000000001,0.7736000000000001,0.2264,13839874.0,-0.016999999999999904,0.016999999999999987,-0.02121078631316553,0.021210786313165697,33.549813750531634
XceptionNet,tinyimagenet_epochs300_pretrain100,CW,0.0044,0.0027,0.9973,0.3863636363636363,0.6136363636363636,21216752.0,0.0043,0.0016,0.9984,0.627906976744186,0.3720930232558139,16872640.0,0.0010999999999999899,-0.0011,0.24154334038054975,-0.24154334038054975,20.474915293349326
