model,dataset,original_clean_acc,collapsed_clean_acc,original_param_count,collapsed_param_count,params_reduction_percent,mean_original_attack_success_rate,mean_collapsed_attack_success_rate,mean_delta_attack_success_rate,mean_delta_robust_accuracy,mean_delta_relative_accuracy_drop,mean_delta_robustness_ratio
XceptionNet,Cifar100_epochs200_pretrain200,0.5975,0.6004,21011852.0,13481196.0,35.840039231192,0.8419,0.8391,-0.0028000000000000247,0.002799999999999997,-0.0033854975344190796,0.0033854975344190796
XceptionNet,Cifar100_epochs300_pretrain100,0.5986,0.6048,21011852.0,13481196.0,35.840039231192,0.8325,0.8438,0.011299999999999977,-0.011300000000000004,0.02155238325051212,-0.021552383250512286
XceptionNet,Cifar100_epochs3_pretrain3,0.3036,0.3614,21011852.0,11377900.0,45.85008499012842,0.9533,0.9463,-0.007000000000000006,0.006999999999999999,0.005231995613603324,-0.005231995613603407
XceptionNet,Cifar100|epochs100_pretrain300,0.59165,0.601,21011852.0,13481196.0,35.840039231192,0.888625,0.871,-0.017625000000000002,0.01762500000000001,-0.026362748586206672,0.026362748586206637
XceptionNet,Cifar100|epochs200_pretrain200,0.597475,0.600325,21011852.0,13481196.0,35.840039231192,0.868625,0.876975,0.008349999999999969,-0.00835,0.014943978301881447,-0.014943978301881492
XceptionNet,Cifar100|epochs300_pretrain100,0.5985,0.6048,21011852.0,13481196.0,35.840039231192,0.8563000000000001,0.890225,0.03392500000000001,-0.03392500000000001,0.05857039819373498,-0.05857039819373501
XceptionNet,Cifar100|epochs3_pretrain3,0.30355,0.3614,21011852.0,11377900.0,45.85008499012842,0.95795,0.947425,-0.010524999999999979,0.010524999999999998,-0.006967083050097439,0.006967083050097421
XceptionNet,Cifar10_epochs100_pretrain300,0.8712333333333332,0.8875333333333333,20827442.0,11193490.0,46.25605007086324,0.7628,0.7195,-0.043300000000000005,0.043299999999999984,-0.04378650840632625,0.04378650840632631
XceptionNet,Cifar10_epochs200_pretrain200,0.8806333333333334,0.8845666666666667,20827442.0,13839874.0,33.549813750531634,0.7370333333333333,0.7263333333333334,-0.010699999999999968,0.010700000000000015,-0.010758007025646036,0.010758007025646102
XceptionNet,Cifar10_epochs300_pretrain100,0.8827333333333334,0.8750333333333332,20827442.0,13839874.0,33.549813750531634,0.7227333333333332,0.7583333333333333,0.03560000000000004,-0.035600000000000014,0.0379356893801179,-0.03793568938011788
XceptionNet,Cifar10_epochs3_pretrain3,0.6504333333333333,0.6747666666666666,20827442.0,11193490.0,46.25605007086324,0.8584,0.8607666666666667,0.002366666666666628,-0.0023666666666666697,0.011368694836078533,-0.011368694836078561
XceptionNet,Cifar10|epochs100_pretrain300,0.8712333333333332,0.8875333333333333,20827442.0,11193490.0,46.25605007086324,0.7213666666666666,0.6827,-0.03866666666666672,0.03866666666666668,-0.0376929281926355,0.03769292819263545
XceptionNet,Cifar10|epochs200_pretrain200,0.8806333333333334,0.8845666666666667,20827442.0,13839874.0,33.549813750531634,0.7065333333333333,0.6942666666666666,-0.012266666666666703,0.012266666666666688,-0.012360754785121811,0.01236075478512183
XceptionNet,Cifar10|epochs300_pretrain100,0.8826666666666667,0.8750666666666667,20827442.0,13839874.0,33.549813750531634,0.6946,0.7161333333333332,0.02153333333333333,-0.02153333333333335,0.021602291231863035,-0.021602291231863118
XceptionNet,Cifar10|epochs3_pretrain3,0.6504333333333333,0.6748,20827442.0,11193490.0,46.25605007086324,0.8187333333333333,0.8263333333333334,0.007599999999999977,-0.007599999999999991,0.021338261545489585,-0.021338261545489557
