model,dataset,kind,attack,model_label,param_count,clean_acc,adv_acc,robust_accuracy,clean_error_rate,adv_error_rate,attack_success_rate,accuracy_drop,relative_accuracy_drop,robustness_ratio
ConvNeXt,Cifar10,Finetuned,FGSM,ConvNeXt (Finetuned),2482666,0.0895,0.0794,0.0794,0.9105,0.9206,0.9206,0.010099999999999998,0.11284916201117316,0.8871508379888269
ConvNeXt,Cifar10,Original,FGSM,ConvNeXt (Original),27827818,0.7524,0.2942,0.2942,0.24760000000000004,0.7058,0.7058,0.45819999999999994,0.6089845826687932,0.39101541733120687
