source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Finetuned),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.9267,0.2616,0.1529,0.165,0.2361999999999999,0.2310999999999999,0.2976999999999999,0.1035,0.1000999999999999,0.1291999999999999,0.1462
ConvNeXt (Original),0.906,0.8544,0.4675,0.4736,0.6151,0.6097,0.6880999999999999,0.3914999999999999,0.3832,0.417,0.4406
InceptionNet (Finetuned),0.9059,0.6404000000000001,0.8568,0.5687,0.6629,0.6646000000000001,0.7168,0.489,0.4811999999999999,0.499,0.5175000000000001
InceptionNet (Original),0.9082,0.6369,0.5486,0.8547,0.6551,0.6528,0.7112,0.4670999999999999,0.4615,0.4882999999999999,0.5079
MobileNet (Original),0.9082,0.613,0.4782999999999999,0.4838,0.8467,0.6292,0.7013,0.4063,0.3981,0.4337999999999999,0.4548
RegNetX_400MF (Finetuned),0.9083,0.6209,0.4876,0.4905,0.6426000000000001,0.8593999999999999,0.7317,0.4166999999999999,0.4075999999999999,0.4398999999999999,0.47
RegNetX_400MF (Original),0.9082,0.5903,0.4451,0.4484,0.5935,0.6031,0.8882,0.371,0.3635,0.3969,0.4196999999999999
VGG16 (Finetuned),0.9064,0.6344000000000001,0.5267,0.5236000000000001,0.645,0.6486000000000001,0.7076,0.7715,0.4952,0.4809,0.4987
VGG16 (Original),0.9059,0.6355999999999999,0.5376000000000001,0.5386,0.649,0.6567000000000001,0.7136,0.5714,0.8124,0.4972,0.5187999999999999
XceptionNet (Finetuned),0.9053,0.6395,0.5378000000000001,0.5432,0.6662,0.6631,0.7196,0.4831999999999999,0.475,0.8331,0.5453
XceptionNet (Original),0.9071,0.6314,0.5232,0.5257000000000001,0.657,0.6609,0.7156,0.4670999999999999,0.4590999999999999,0.5,0.8072
