source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Finetuned),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.9023,0.6396,0.5267,0.527,0.6454,0.6517999999999999,0.7133,0.4832999999999999,0.4731999999999999,0.4801999999999999,0.4941
ConvNeXt (Original),0.9044,0.9968,0.5357000000000001,0.536,0.6555,0.6611,0.7232000000000001,0.4911999999999999,0.4798,0.4907,0.503
InceptionNet (Finetuned),0.9041,0.6446000000000001,0.9822,0.5527,0.6595,0.6617,0.7173,0.4991,0.4901,0.4993999999999999,0.5132
InceptionNet (Original),0.9044,0.648,0.5468999999999999,0.993,0.6593,0.6643,0.7214,0.4986,0.4877,0.4973999999999999,0.5116
MobileNet (Original),0.9044,0.6447,0.5317000000000001,0.5319,0.9981,0.6582,0.7233,0.4885,0.4784,0.4882999999999999,0.504
RegNetX_400MF (Finetuned),0.9043,0.6433,0.5312,0.5311,0.6596,0.9892,0.7376,0.4899,0.4785,0.4902999999999999,0.5061
RegNetX_400MF (Original),0.9043,0.6435,0.53,0.5312,0.6535,0.6591,0.9955,0.4868,0.4771999999999999,0.4869,0.5014000000000001
VGG16 (Finetuned),0.9047,0.6383,0.5275000000000001,0.5282,0.6469,0.651,0.7103999999999999,0.988,0.4902999999999999,0.4842999999999999,0.4999
VGG16 (Original),0.904,0.6443,0.5369999999999999,0.5383,0.6556,0.6597999999999999,0.7201,0.5341,0.9992,0.4943999999999999,0.5112
XceptionNet (Finetuned),0.9054,0.6363,0.5325,0.5333,0.653,0.6561,0.7136,0.4941,0.4832999999999999,0.9707,0.5274
XceptionNet (Original),0.9045,0.6447,0.536,0.5378000000000001,0.6606000000000001,0.6654,0.7258,0.495,0.4877,0.5032,0.9985
