source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Finetuned),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.9142,0.6444,0.5304,0.5294,0.6506000000000001,0.6523,0.7145,0.4892999999999999,0.4792999999999999,0.4844,0.4979
ConvNeXt (Original),0.9129,0.7058,0.5426,0.5426,0.6602,0.6621,0.7223999999999999,0.5005999999999999,0.488,0.5004,0.5122
InceptionNet (Finetuned),0.9131,0.653,0.5849,0.5627,0.6642,0.6645,0.7229,0.5198,0.5079,0.5125,0.5267999999999999
InceptionNet (Original),0.9138,0.6506000000000001,0.5607,0.5968,0.6611,0.6646000000000001,0.7219,0.5157,0.5041,0.512,0.527
MobileNet (Original),0.9133,0.647,0.5408999999999999,0.5414,0.7013,0.6658999999999999,0.7277,0.5025,0.4895,0.5025,0.522
RegNetX_400MF (Finetuned),0.9152,0.6517,0.5428999999999999,0.5450999999999999,0.6671,0.6935,0.7361,0.5107999999999999,0.4963999999999999,0.5053000000000001,0.5251
RegNetX_400MF (Original),0.9137,0.6485000000000001,0.5352,0.5396000000000001,0.6663,0.6738999999999999,0.7662,0.4992,0.4848,0.4968,0.5187999999999999
VGG16 (Finetuned),0.9135,0.6456999999999999,0.5397000000000001,0.5399,0.6565,0.6578999999999999,0.7177,0.6056,0.5261,0.4973999999999999,0.5147999999999999
VGG16 (Original),0.914,0.6437999999999999,0.5384,0.5382,0.6568,0.6569,0.7171000000000001,0.5311,0.5542,0.4962999999999999,0.5126999999999999
XceptionNet (Finetuned),0.9129,0.6477999999999999,0.5483,0.5499,0.663,0.6656,0.7246,0.5195000000000001,0.5071,0.5568,0.5452
XceptionNet (Original),0.9129,0.6484,0.5459,0.5470999999999999,0.6655,0.6649,0.7251000000000001,0.5151,0.5019,0.5246999999999999,0.596
