source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Finetuned),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.9049,0.6429,0.5308999999999999,0.5322,0.6505000000000001,0.6526000000000001,0.7168,0.4896,0.4756,0.4832999999999999,0.499
ConvNeXt (Original),0.9037,0.8163,0.5448999999999999,0.5449999999999999,0.6618999999999999,0.6688000000000001,0.7247,0.4995,0.4869,0.4991,0.5132
InceptionNet (Finetuned),0.9049,0.654,0.7459,0.5796,0.6662,0.6693,0.7279,0.5182,0.5094000000000001,0.5181,0.5337000000000001
InceptionNet (Original),0.9044,0.6536,0.5702,0.773,0.6659999999999999,0.6679999999999999,0.7262,0.5126999999999999,0.505,0.5151,0.5304
MobileNet (Original),0.9039,0.6481,0.5403,0.5427,0.8901,0.6717,0.7382,0.4976,0.4856,0.5035000000000001,0.5219
RegNetX_400MF (Finetuned),0.9044,0.6528,0.5445,0.5472,0.6796,0.8497,0.7601,0.5091,0.4955,0.5091,0.5308999999999999
RegNetX_400MF (Original),0.9041,0.6488,0.5358,0.5388,0.6715,0.6857,0.9178,0.4968,0.4832999999999999,0.4979,0.5187999999999999
VGG16 (Finetuned),0.9039,0.645,0.5417000000000001,0.5419,0.6572,0.6597,0.7199,0.8961,0.558,0.5017,0.5157
VGG16 (Original),0.9045,0.6464,0.5477000000000001,0.5489999999999999,0.6572,0.6639999999999999,0.7211000000000001,0.6113,0.8167,0.5123,0.5277000000000001
XceptionNet (Finetuned),0.9046,0.6521,0.5582,0.5594,0.6696,0.6738999999999999,0.7313000000000001,0.5243,0.5177,0.7623,0.5732999999999999
XceptionNet (Original),0.9054,0.6503,0.5513,0.5519000000000001,0.6715,0.6726,0.7324999999999999,0.5156000000000001,0.5098,0.5437000000000001,0.8093
