model,dataset,kind,attack,model_label,param_count,clean_acc,adv_acc,robust_accuracy,clean_error_rate,adv_error_rate,attack_success_rate,accuracy_drop,relative_accuracy_drop,robustness_ratio
VGG16,Cifar10,Finetuned,DeepFool,VGG16 (Finetuned),21893450,0.9167,0.2246,0.2246,0.08330000000000004,0.7754,0.7754,0.6920999999999999,0.754990727609905,0.2450092723900949
VGG16,Cifar10,Original,DeepFool,VGG16 (Original),33663050,0.9204,0.1816,0.1816,0.0796,0.8184,0.8184,0.7388,0.8026944806605824,0.19730551933941765
