source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Finetuned),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.9912,0.8876,0.8226,0.8384,0.8963,0.9146,0.9356,0.7779,0.8561,0.7992,0.8017
ConvNeXt (Original),0.9904,0.9518,0.8264,0.8431,0.8979,0.9165,0.9368,0.7789,0.8578,0.8019000000000001,0.8064
InceptionNet (Finetuned),0.9908,0.8881,0.9156,0.8637,0.9022,0.9177,0.9369,0.7931,0.8656,0.8158,0.8204
InceptionNet (Original),0.9911,0.8867,0.8394,0.9402,0.9014,0.9164,0.9365,0.7908,0.8687,0.8096,0.8142
MobileNet (Original),0.9908,0.886,0.8275,0.8443,0.9704,0.9192,0.9389,0.7832,0.8627,0.806,0.8135
RegNetX_400MF (Finetuned),0.991,0.8869,0.8257,0.8427,0.9023,0.9706,0.9448,0.7823,0.8609,0.8066,0.8113
RegNetX_400MF (Original),0.9913,0.8874,0.8230999999999999,0.8417,0.9008,0.9285,0.9806,0.7804,0.8591,0.8034,0.8083
VGG16 (Finetuned),0.9909,0.8848,0.8254,0.8435,0.8987,0.916,0.936,0.9581,0.8866,0.8041,0.8086
VGG16 (Original),0.9909,0.885,0.8269,0.8444,0.8996,0.9151,0.9358,0.8222,0.9701,0.8044,0.8094
XceptionNet (Finetuned),0.9909,0.8871,0.8352999999999999,0.853,0.9037,0.919,0.9384,0.7948999999999999,0.8661,0.9127,0.8416
XceptionNet (Original),0.9907,0.8879,0.8334,0.851,0.9055,0.9195,0.9391,0.7934,0.867,0.8331,0.9275
