source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Finetuned),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.9913,0.6353,0.4653,0.494,0.6341,0.6569,0.7105,0.3619,0.4996,0.4388999999999999,0.4508999999999999
ConvNeXt (Original),0.9912,0.7839,0.4706,0.4976,0.6403,0.6615,0.7173,0.3665,0.5032,0.4458999999999999,0.4579
InceptionNet (Finetuned),0.991,0.6397999999999999,0.6401,0.527,0.646,0.6619999999999999,0.7146,0.3834999999999999,0.5156000000000001,0.4635,0.472
InceptionNet (Original),0.991,0.6395,0.4879,0.7007,0.6428,0.6602,0.7139,0.3758,0.5141,0.4556,0.4651999999999999
MobileNet (Original),0.9912,0.6384000000000001,0.4721999999999999,0.5004,0.8160000000000001,0.6639999999999999,0.7199,0.3691,0.5076,0.4518,0.4648
RegNetX_400MF (Finetuned),0.9913,0.6407,0.469,0.4973999999999999,0.6458999999999999,0.8068,0.7365999999999999,0.3689,0.5037,0.4516,0.4636
RegNetX_400MF (Original),0.9909,0.6397999999999999,0.4695,0.4959,0.6409,0.6828000000000001,0.8482000000000001,0.3663999999999999,0.5026999999999999,0.4476,0.4570999999999999
VGG16 (Finetuned),0.9911,0.6364000000000001,0.4703,0.4989,0.6377999999999999,0.6587000000000001,0.7119,0.7274,0.5516,0.4487,0.4589
VGG16 (Original),0.9911,0.6372,0.4711999999999999,0.5,0.6391,0.6581,0.7130000000000001,0.4276,0.7954,0.4489999999999999,0.4604
XceptionNet (Finetuned),0.991,0.6406000000000001,0.4815,0.5097,0.6464,0.6658,0.7157,0.3819,0.5179,0.6352,0.5045
XceptionNet (Original),0.9912,0.6391,0.4809,0.5082,0.6476999999999999,0.6666000000000001,0.7176,0.3836,0.5183,0.4877,0.6878
