Candidate Block,Delta Acc (%),Params Red. (%),FLOPs Red. (%),Memory Red. (%)
Set_8,1.3019999999999996,25.39557186139325,17.429307762593705,3.5833620606134375
Set_8,1.3019999999999996,25.39557186139325,17.429307762593705,3.5833620606134375
Dynamic_Region_All_Combined,0.7880000000000038,46.25605007086324,33.42557030704826,8.83223043108945
Dynamic_Region_All_Combined,0.7880000000000038,46.25605007086324,33.42557030704826,8.83223043108945
Set_7,0.12400000000000233,2.6075597761837432,1.9985890161513975,0.6561085463094973
Set_6,0.03200000000000358,2.6075597761837432,1.9985890161513975,0.6561085463094973
Set_4,0.02200000000000557,2.6075597761837432,1.9985890161513975,0.6561085463094973
Set_4,-0.027999999999998693,2.6075597761837432,1.9985890161513975,0.6561085463094973
Set_3,-0.0659999999999954,2.6075597761837432,1.9985890161513975,0.6561085463094973
Set_3,-0.12199999999999989,2.6075597761837432,1.9985890161513975,0.6561085463094973
Set_6,-0.17599999999999483,2.6075597761837432,1.9985890161513975,0.6561085463094973
Set_5,-0.2119999999999962,2.6075597761837432,1.9985890161513975,0.6561085463094973
Set_5,-0.24399999999999977,2.6075597761837432,1.9985890161513975,0.6561085463094973
Set_0,-0.3159999999999954,2.6075597761837432,1.9985890161513975,0.6561085463094973
Set_0,-0.35999999999999943,2.6075597761837432,1.9985890161513975,0.6561085463094973
Set_2,-0.4959999999999951,2.6075597761837432,1.9985890161513975,0.6561085463094973
Set_1,-0.5039999999999978,2.6075597761837432,1.9985890161513975,0.6561085463094973
Set_1,-0.5339999999999989,2.6075597761837432,1.9985890161513975,0.6561085463094973
Set_2,-0.7459999999999951,2.6075597761837432,1.9985890161513975,0.6561085463094973
